constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Roysambu,Kahawa,-1.1869631,36.912022,21899825ab9f74956e4eb65b7aef59c41a04f725,Agmo Prayer Mountain,-1.1558772,36.94139419999999,church,4.75207512425508
 Dagoretti South,Uthiru,-1.2631329,36.7188955,22c1abc1705e6101dfef2732957e2ef87789faff,Kindom Hall of Jehovah's Witness,-1.2278749,36.69631,church,4.652667101350587
 Westlands,Kitisuru,-1.2395542,36.7839651,50524c2d547a196d56deaf59d75aa1c76d19e995,Karura Community Chapel Foresight,-1.201851,36.76614710000001,church,4.633888338134213
 Kibra,Sarangombe,-1.31226715,36.77745932,934307c63aaac8a7ff5764d1184b858f10b869da,Scripture Mission,-1.3374451,36.7454067,church,4.528604546634296
 Lang'ata,Karen,-1.3283746,36.7049676,4588024a7ca6a9478192badd9b1f1fc7b7c180be,Assembly Of Apostles Church,-1.349006,36.6733181,church,4.19752780873324
 Kasarani,Mwiki,-1.2322833999999998,36.9275102,5c27bdd1277fecb2542cf6956b2ebf8c32d32141,ACK Holy Spirit The Comforter,-1.2130725,36.95833870000001,church,4.035880466116675
 Westlands,Kangemi,-1.2654258999999999,36.7525183,a139a002d87fe7d63840c71007bed8e0f093034c,Kingdom Hall of Jehovah’s Witnesses,-1.2295828000000002,36.7468815,church,4.0319987107761
 Westlands,Kitisuru,-1.2395542,36.7839651,e10ece041c7dc4ce8c78006e2b72733cb20c35a7,Full Gospel Church,-1.2046311,36.77964420000001,church,3.9104114229047693
 Dagoretti South,Mutuini,-1.3,36.7,af7bc52de12c103c631d80f7b235e3928afd6425,St Andrews church Karinde,-1.3077101,36.6657999,church,3.894910450083638
 Westlands,Kitisuru,-1.2395542,36.7839651,551971fb6a309dd8c72699cd620c5a8d800c26b1,Mamlaka Hill Chapel Ruaka,-1.2064918,36.7950529,church,3.8750740268520625
 Kibra,Sarangombe,-1.31226715,36.77745932,046d0349d45d659d00c7c2498466f36f84df4c8e,NPC Karen,-1.3402633999999998,36.7588538,church,3.735142917761524
 Dagoretti South,Uthiru,-1.2631329,36.7188955,55ea5ae5b6711a1197ab9c7c98d28ef23c182b3d,Full Gospel Church Of Kenya,-1.2514855,36.68761629999999,church,3.7082821859462047
 Kibra,Sarangombe,-1.31226715,36.77745932,093f0e96f56efb9b9471d88625626ed0ade01862,Karengata SDA Church,-1.3419099,36.76447570000001,church,3.596020676136488
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,aa74dfdd522b2e627241c2dd9d7a614d1fc82d4c,Worldwide Gospel Church of Kenya,-1.1631106000000002,36.82391610000001,church,3.493513842593931
 Westlands,Karura,-1.2369881,36.83255910000001,e2bff838d90fe7c579d1ccbe8761f9de35f3f48d,Nairobi Lighthouse Church,-1.234343,36.863663,church,3.468099331208111
 Lang'ata,Karen,-1.3283746,36.7049676,ccf2c87677f93e347133fff7448ba68c8f8cb8b1,Resurrection Garden,-1.3138338,36.6773768,church,3.465041510577065
 Lang'ata,Karen,-1.3283746,36.7049676,91e57d936c18b8f520f8f040b5699b84fa792ca0,Dc Embulbul,-1.3324348999999998,36.6742143,church,3.446207575515623
 Westlands,Kitisuru,-1.2395542,36.7839651,8c3506d82cfeed6faaa9d6ee332bc3659f34c72e,Kihara A.I.P.C.A Church,-1.2177438,36.76196510000001,church,3.442136959595703
 Lang'ata,Karen,-1.3283746,36.7049676,872deee2b93ae88c89068fc6d882fe02217f2121,Deliverance Church Embulbul,-1.332748,36.674307,church,3.4407395538387493
 Lang'ata,Karen,-1.3283746,36.7049676,f03e8e890cc79701d2057fd46b85f1d82fed9704,New Testament Church Of God - Kenya Head Office,-1.3500484,36.7270758,church,3.439962431390956
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,7d5bbab78dab6b2438abf26b0656388abde3ee07,KAG Kiambu Church,-1.1749023,36.825785,church,3.435343618657948
 Embakasi South,Pipeline,-1.0881862,36.5315908,63681ad75c05bf4a606cf6fc8661d4c846e12214,A.I.C Empeut,-1.1179583,36.5232724,church,3.4350929061487276
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,4573cad0a3de1118c042e7c7beccb7ac9db18311,"Kings Outreach Church, Kiambu Main Altar",-1.162396,36.8245424,church,3.431405363544411
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,03a8630a6ed3d29f8f0db64d497794987f0414ed,Repentance & Holiness Church Kiambu Main Altar,-1.1625233,36.8246083,church,3.422693400751671
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,2c76ffa2dce4de912f56ef268433aa8852b6e4fa,Jesse victory celebration ministry,-1.1724538999999998,36.82532970000001,church,3.412524927952854
 Kibra,Woodley,-1.3056567,36.77600465,e8edd81b8ed3b1beb28995aefc41fa7aed90abda,A I C Children's Homes Department,-1.294088,36.8042299,church,3.389023706943461
 Lang'ata,Karen,-1.3283746,36.7049676,d1be0f8827093e65504cac698f5f3d27a00c6a3e,Karen Vineyard Church,-1.335941,36.734514,church,3.3884383565233174
 Lang'ata,Karen,-1.3283746,36.7049676,f14699288b43b040d0f19ba0eb1dfe0d869e20e9,Jesus is the way the truth church,-1.3335973,36.6751125,church,3.367150872333165
 Lang'ata,Karen,-1.3283746,36.7049676,5510211e57cc61e7cb0cd7a5df1d00b6345aad1e,"Free Pentecostal Church, Waithaka",-1.3124983,36.7306305,church,3.352760162787181
 Lang'ata,Karen,-1.3283746,36.7049676,502e4042e684fc4fb98eb2ba11fd1e8bfc007273,Mount Zion Worship Sanctuary,-1.3394375,36.7330027,church,3.3484057642916802
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,91d9f8acefbbaca7cbd7ca38f2f05810b6c0d9c5,ACF Church Kiambu,-1.1722018,36.82591439999999,church,3.3429621486146415
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,0c81997753c044ac4983a98cffb45fe1967a6367,1st Born Of Holyspirit church,-1.172006,36.82614239999999,church,3.3134955449626706
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,30e842dbd724095ce4751996dab01857c3bb6a5b,Dominion chapel,-1.1727918,36.82647499999999,church,3.2975736950700596
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,6c997646b0a4060e3beba87dd9f6bb4f4aac2b24,Redemption World Crusaders Church,-1.1670959,36.82570849999999,church,3.2880116028728623
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,9595aa6a9806843c47c05edacb4ba32a05f86edd,Blessed Souls Church,-1.1695109,36.8259342,church,3.2878372202891133
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,149598936bdbdd36b79a3a778ed9799486e39aee,Redemption world church,-1.1670638,36.8257266,church,3.2858214447000442
 Lang'ata,Karen,-1.3283746,36.7049676,247c40f1e1674c77962f8324f065b79659bb1039,Free Pente Coastal Embulbul Church,-1.3366152,36.6765783,church,3.28416358281743
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,0f59f3e50d387ae50022db710342a848c04f31c8,Omega Pentecostal Church Kiamumbi,-1.1806249,36.8804514,church,3.2602347101334797
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,488367e8b87195e3e32a50c64827a19cfb468baa,Blessed Souls Terbanacle,-1.170644,36.82640000000001,church,3.2559731490870663
 Roysambu,Kahawa,-1.1869631,36.912022,6551def30aae4ad2263d20068c58932899b4c830,Membley Baptist Church,-1.1628479,36.92862149999999,church,3.2530829167193502
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,ac1799d2e5248d5e21e26c785517a1284956cf50,Church Of God Seventh day Church,-1.1703702,36.82648029999999,church,3.2420441697751
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,16f6b3f274fc321e37f7d592571685cbeaccb007,Zayuni Gospel Church,-1.170634,36.82655009999999,church,3.2393566324790304
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,a1c2c397b0a0bafd4d77a0c5edf622ffd778a03c,CFF Church Kiambu,-1.1659102,36.826355,church,3.2120408781550407
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,5920ac9618e817ba9987ed126f89ea8a797cfc01,Freedom Community Church,-1.1751918,36.82845179999999,church,3.164862390822557
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,b943374e7f0a46f3fe82c29157d467bc2fd8e559,Gospel Revival Centre - Kiambu,-1.1718367,36.8277138,church,3.1390225774528315
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,ee9d4ea5f16aaae4b4247e729ad1ac45f26aa8b7,AIPCA Kamiti Church,-1.1511858999999998,36.8793487,church,3.117071463045001
 Lang'ata,Karen,-1.3283746,36.7049676,a66dc6cac15a2f40c609b4bd47de53f979ca8665,Aic Embul bul,-1.336511,36.6781898,church,3.1092478138348674
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,8a41f5db4b2da09c2d1437f25f76a776ed8ce823,A C K Diocese Of Mt Kenya South,-1.1701772,36.82767930000001,church,3.1071196803026204
 Westlands,Karura,-1.2369881,36.83255910000001,a12ef466b5aabba298973218e39a7f76683b7b4b,Hearts Ablaze Church,-1.2421448999999998,36.8600088,church,3.1030103592494602
 Westlands,Karura,-1.2369881,36.83255910000001,b79b49221a8191de5506c1aab24611d799a12587,Nairobi Lighthouse Church,-1.2421448999999998,36.8600088,church,3.1030103592494602
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,bdbd9dd4c044e23377a4a85896c47127bc589fdb,"ACK Cathedral Church, Kiambu",-1.170627,36.82780899999999,church,3.1015693552091266
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,03a17d4b48a3596b9117f79b4343279cacb8fda1,New Beginning In God Centre,-1.1683982,36.8275049,church,3.100013124065974
 Westlands,Karura,-1.2369881,36.83255910000001,4e7ccac3491fd44344ecb974e28edec3fe9e765e,ACK St. Pauls Church - Survey,-1.2486897,36.85785079999999,church,3.0961789803848005
 Westlands,Karura,-1.2369881,36.83255910000001,8b619006110a2586c3d7510ee73070fc4a19ce72,"SDA Church, Survey",-1.2486626,36.8578434,church,3.094169029295111
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,3e60a70c0add7a449e5cb4be94dd90f8e3f66d2b,Word Of Life Christian Church,-1.167722,36.82751699999999,church,3.091963924034812
 Dagoretti South,Uthiru,-1.2631329,36.7188955,5ad313d608a04b381149cdcbd85cc7ece7019336,Kinoo A.I.P.C.A Church,-1.2500248,36.6943574,church,3.090898775743134
 Lang'ata,Karen,-1.3283746,36.7049676,0aa552e5cf584201507ec7b14ab2babf668dff89,PCEA Muteero Church,-1.3200279,36.6786226,church,3.0702639322640017
 Roysambu,Githurai,-1.2062932,36.9206391,4051abfaf90383d36fea40e9444bb47c9c4de0d8,Deliverance church,-1.1950894,36.94581979999999,church,3.062125791701517
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,66795eee941af43ab9998ad5f49657d0e3f8db6f,Word Of Faith Chapel,-1.16539,36.82771500000001,church,3.060789231942381
 Westlands,Karura,-1.2369881,36.83255910000001,c4a83c0d96c023bc3c3fdad73ff14dee4842018c,Life Youth Fellowship,-1.2597975,36.8479763,church,3.059163484107873
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,5d567850d4875770b92fe355e7e94cf7398207ee,"Ack St James Cathedral Church, Kiambu",-1.170632,36.82829,church,3.0491308428244803
