constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,55c5b80a5d0265dcca4803539020e0cf11a361a4,Karunga Primary School,-1.1569688,36.8105591,primary_school,5.057960749982779
 Lang'ata,Karen,-1.3283746,36.7049676,c573ed9b071661ef532284000fadbf31b4ddbf06,Op,-1.3465638,36.66387329999999,gas_station,4.9928062540103335
 Lang'ata,Karen,-1.3283746,36.7049676,19038c8c703aae9b02ab6f95c5d6ba1834fdbf51,morgars,-1.3465638,36.66387329999999,gym,4.9928062540103335
 Lang'ata,Karen,-1.3283746,36.7049676,d27c1226db4403d100d863f031949fda88d18bca,JKUAT Karen Library,-1.3562557,36.74008500000001,library,4.981964211053842
 Lang'ata,Karen,-1.3283746,36.7049676,d96b626429fa29367789cd9badc46be6a4a5481f,Betty kaveni/Natasha kaveni,-1.3628652,36.733459,gym,4.9708011947904325
 Lang'ata,Karen,-1.3283746,36.7049676,deecd7b97d4f40f26af5fb8b4312d97da859dcb6,Benum Education Center Primary School,-1.3045915,36.74281020000001,primary_school,4.965865750328497
 Embakasi East,Mihango,-1.2692818000000001,36.95299050000001,49dd82730e679b250c01d69420f88286b1ec718a,MUNGAH ENT...,-1.2823141000000002,36.91051629999999,bank,4.936012141461904
 Lang'ata,Karen,-1.3283746,36.7049676,81942eb32da0cbc206459cd6e8684ffa2a514235,Gataka,-1.3701111,36.72003889999999,gas_station,4.930942688280238
 Dagoretti South,Mutuini,-1.3,36.7,6cb54556e2faa5feffc5c847de2fe295664fa950,Edds Place,-1.277743,36.66167069999999,gym,4.924442633779142
 Lang'ata,Karen,-1.3283746,36.7049676,08e6a5e8b15e26cf1c314ebcdbdee8e110c5a0c8,Chonjo Shopping Centre,-1.3190608,36.661674,shopping_mall,4.9198219081548125
 Westlands,Kitisuru,-1.2395542,36.7839651,88b072e9c7537f479dca9adeadf79799d9f5963c,Moni-Junior Primary School,-1.2113952,36.7498013,primary_school,4.9191670340314255
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,0e684f30b81990ad415cbe4e09d754df4dbba400,Iraqi Embassy - Kenya,-1.227337,36.81266220000001,embassy,4.915775044904704
 Dagoretti South,Mutuini,-1.3,36.7,0e7e7cbe6bb4b4eaa4eaf7e0b6a8f351e1cc30fb,The Cloisters,-1.2785318,36.66157949999999,gym,4.889847345408669
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,d51fca317b5d472e1a122b2b8ac65d8c4419f81b,Maracha's estate Tinganga,-1.1388591,36.820356200000006,shopping_mall,4.88397330485884
 Lang'ata,Karen,-1.3283746,36.7049676,440f93bd920c957faf07bd283e871701d4f97711,Bosipa Gardens,-1.3472171999999998,36.7445694,shopping_mall,4.872416520708131
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,b16b8f5d929a4f9cfea3a655dde035958fd4e49d,Republic of Mozambique High Commission in Nairobi,-1.2137913,36.8054472,embassy,4.868729507727895
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,64826ca32c5f20d4ea7526630f53e6d1c379fa9b,Mozambique High Commission,-1.2137913,36.8054472,embassy,4.868729507727895
 Dagoretti South,Uthiru,-1.2631329,36.7188955,db7c5794f31f651a3672f0b4797cbe8913e75e62,Wazito Camp Gym,-1.219747,36.713549,gym,4.857715795147989
 Westlands,Kitisuru,-1.2395542,36.7839651,ebb19055d01ad6b589c70b6bcda94269830aacba,Valley View Academy,-1.1959017,36.78186470000001,primary_school,4.8564985898514506
 Lang'ata,Karen,-1.3283746,36.7049676,3202023fbe9edafbd47d4e59c968c0be8a26e238,Liberty Centre,-1.3324646999999998,36.74837309999999,shopping_mall,4.843513604370734
 Lang'ata,Karen,-1.3283746,36.7049676,acfa01c17a348b05556af7ea7da44d47abe34ec4,Bumblebee Tennis Academy,-1.3472537,36.7441875,gym,4.835899505938813
 Dagoretti South,Uthiru,-1.2631329,36.7188955,c0cba06f034b3aaac6ad56c2a92efff572143756,Body Poa Gym,-1.2199669,36.7137739,gym,4.830456738475368
 Dagoretti South,Uthiru,-1.2631329,36.7188955,394275b054cffa074199d9bdb0b97e22e5c73741,Fit n Fine Gym,-1.2457457,36.6792789,gym,4.806771340327089
 Westlands,Kitisuru,-1.2395542,36.7839651,091169c1392d4a13fb52b8cdb035004f0fe4c0c2,Sifa Primary School,-1.2052382,36.7576374,primary_school,4.8059783009867925
 Dagoretti South,Uthiru,-1.2631329,36.7188955,64de3e56a90d787edb318220c087e7da9c16b8ed,Excuisite Styles Gym & Aerobics,-1.220328,36.712775,gym,4.8050560623526986
 Dagoretti South,Uthiru,-1.2631329,36.7188955,efd56a55d573ed0ceec12d4b0d856ccb914ee075,Club Hikers,-1.2203517,36.7127808,night_club,4.802357720676753
 Dagoretti South,Uthiru,-1.2631329,36.7188955,86b98a87814b1f96b8b5a1246b081ac1d143aa46,Podleo Club,-1.2205307,36.71337990000001,night_club,4.773667657439368
 Dagoretti South,Mutuini,-1.3,36.7,ecef080b05c34b61be1f5373f34e1926173acbec,Absa | Branch | Kikuyu,-1.268358,36.670972,atm,4.771161251039491
 Lang'ata,Karen,-1.3283746,36.7049676,42bb033e00d1f7eb40a25c446e7742f542b2f7d9,Dosabi Blessed Centre Primary School,-1.2931527,36.7295009,primary_school,4.7695205266178045
