constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Dagoretti South,Mutuini,-1.3,36.7,ecef080b05c34b61be1f5373f34e1926173acbec,Absa | Branch | Kikuyu,-1.268358,36.670972,atm,4.771161251039492
 Embakasi Central,Spring Valley,-1.2477029,36.78923560000001,36f9fec138c405a27b94b2f01e4290fffa4c6715,KCB ATM,-1.2802794,36.816261499999996,atm,4.703195257594986
 Embakasi Central,Spring Valley,-1.2477029,36.78923560000001,99335db50d366bb72ca3f1ba857db9e44d52755b,Co-op Bank ATM - Catholic University Branch,-1.2815459999999999,36.814407,atm,4.686590380901278
 Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,294a4faab01af3d49ad53f2c9f16efb379469487,Kenya Commercial Bank,-1.3165591,36.83421849999999,atm,4.659879919652614
 Embakasi East,Lower Savanna,-1.324728,36.887724,ddce0bf7dc174e2a34b36ec54c9c62ba45f4af51,Standard Chartered Bank ATM,-1.329569,36.925321999999994,atm,4.211460853755811
 Embakasi Central,Kayole North,-1.2659842,36.9169455,86d9e2a09df04aac00c3545ba0edb78cd7b047c9,Ecobank ATM Mutindwa,-1.2846918999999999,36.8845689,atm,4.1545086127208775
 Kibra,Sarangombe,-1.31226715,36.77745932,8df60f319f046f68280cae87e1d02cbedead0f57,PesaPoint ATM Langata Kenol,-1.341126,36.753762,atm,4.149143216312784
 Kibra,Sarangombe,-1.31226715,36.77745932,d7a893d1fb2ea423879d7149056a752c6e244888,PesaPoint ATM CFC - Langata Road,-1.341142,36.753834999999995,atm,4.145378229819538
 Embakasi Central,Kayole Central,-1.2659842,36.9169455,bacea222408c2d75349c5ebbcf2c0f75f10ed5a3,Eco Bank ATM,-1.2846839,36.88473249999999,atm,4.138335786173845
 Embakasi Central,Kayole Central,-1.2659842,36.9169455,5d7fc50ad3582421e8e78006e1892395316a89a9,Pesa Point,-1.2697155,36.87995970000001,atm,4.129912608192631
 Embakasi Central,Kayole Central,-1.2659842,36.9169455,508cd59c50834421d14467fd4a45ce4a09c48594,BBK ATM,-1.2846356,36.884931,atm,4.116574629079021
 Embakasi Central,Kayole South,-1.2659842,36.9169455,fb88d784ab3fc236331e84399a1a799617e6a05e,KCB ATM,-1.284146,36.884877,atm,4.0946708375851735
 Embakasi East,Upper Savanna,-1.324728,36.887724,7ecce8a02f1cd5fb521937bb75e7f25dcb1522e8,KCB ATM - JKIA,-1.330631,36.92384699999999,atm,4.066353221085674
 Embakasi Central,Spring Valley,-1.2477029,36.78923560000001,334041d1ba37d70f2fb6020fb7b9c16dbb16f1c6,Co-op Bank ATM - Kahawa Wendani Branch,-1.275042,36.813424,atm,4.056023334842501
 Embakasi Central,Spring Valley,-1.2477029,36.78923560000001,363741328fe4202c0fca99df380d01dbe218a7b4,Coop Bank ATM Chiromo Branch,-1.2750002,36.81344349999999,atm,4.053982174650492
 Embakasi Central,Kayole North,-1.2659842,36.9169455,1e5666ed6ca74ca658c8dd71be432ddc76a1d2a0,Consolidated Bank ATM,-1.2785893,36.883204,atm,4.001763428802145
 Embakasi Central,Kayole South,-1.2659842,36.9169455,ce351d45f6c2c0168b14b5ffaf5f1e4aff33227d,Pesa Point,-1.2779767,36.883206799999996,atm,3.9781533613433058
 Embakasi Central,Kayole South,-1.2659842,36.9169455,7af6602be81aa740f7a7a2d75b3dccaad009ddd5,Equity ATM,-1.2779411,36.8832627,atm,3.970976938360869
 Kibra,Sarangombe,-1.31226715,36.77745932,3f55cbb92b49d3b8efa6b9f6e4c17e6591d94033,Galleria Co-op Bank ATM,-1.343508,36.764178,atm,3.7721852080306912
 Kibra,Sarangombe,-1.31226715,36.77745932,5110f64ee1a4613d8d109aa77769ce120b28d77b,KCB ATM - Maasai Market,-1.3434270000000001,36.765189,atm,3.721308034819028
 Kibra,Sarangombe,-1.31226715,36.77745932,fff9683affe117dae96426f5aa322f593f885630,Standard Chartered Bank ATM,-1.342781,36.764294,atm,3.6928459585452607
 Kibra,Sarangombe,-1.31226715,36.77745932,2a94a8705c48805964a077f09ef478903990658f,PesaPoint ATM KCB - Bomas,-1.342674,36.764528999999996,atm,3.6716382689725697
 Kibra,Sarangombe,-1.31226715,36.77745932,f23f778dc4205a0c11d76bcb904d538ba715cdf2,PesaPoint ATM Oilibya Langata,-1.3425850000000001,36.76453400000001,atm,3.662320720654548
 Westlands,Kangemi,-1.2654259,36.7525183,afd98276cfdd64ddbddd163a27c5e663d890fbd1,I&M Bank ATM,-1.2904411,36.7707829,atm,3.441632692569763
 Westlands,Kangemi,-1.2654259,36.7525183,52a0bd3860d414d52361bac6b873a37df84ea360,Co-operative Bank ATM,-1.2904076,36.770757399999994,atm,3.4369555739746382
 Westlands,Kangemi,-1.2654259,36.7525183,cee1d49935bce645b1abbc4d7ab48b933d151c1d,Equity Bank Atm,-1.2903753999999998,36.7707641,atm,3.434505294642068
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,629a0104d9a5f55b4bdfc25f726fa367340b968d,PesaPoint ATM Kiambu,-1.167457,36.82513600000001,atm,3.353801488876733
 Lang'ata,South C,-1.3204427,36.83053678,15352dcd83922ea56d031fab82a4561b2e7d061f,Co-op Bank ATM - DOD Hurlingham Branch,-1.2920658999999999,36.82194619999999,atm,3.294634714687748
 Lang'ata,South C,-1.3204427,36.83053678,e0a49fdbe86799617d7148ae7b940fbde988c710,Co-op Bank ATM - Runyenjes Branch,-1.2920658999999999,36.82194619999999,atm,3.294634714687748
 Lang'ata,South C,-1.3204427,36.83053678,b27721d5dac6ac90c01e25a4c1a11019c87bb127,Co-op Bank ATM - Ruaka Branch,-1.2920658999999999,36.82194619999999,atm,3.294634714687748
 Lang'ata,South C,-1.3204427,36.83053678,c1bae144f4271acbd086510417bdebdf258c95c2,Co-op Bank ATM - Nakumatt Embakasi Branch,-1.2920658999999999,36.82194619999999,atm,3.294634714687748
 Lang'ata,South C,-1.3204427,36.83053678,3b9df85a1443a55653f49a4a241fba17592d73f3,Co-op Bank ATM - Parliament Road Branch,-1.2920658999999999,36.82194619999999,atm,3.294634714687748
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,fe259b3533b2117730dfbb1d7fba43c59c3e8aff,Barclays ATM,-1.1698741000000001,36.8270932,atm,3.166104925043791
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,d130487816123a65f3e63bd0e9f1c1f0920c39d7,Equity ATM,-1.1703233,36.8273708,atm,3.143617610059997
 Embakasi Central,Kayole South,-1.2659842,36.9169455,7e692c26533565a2641e70abe951c7cd9d99dba2,Ecobank ATM Greenspan Mall,-1.2891111000000002,36.901145,atm,3.1122674624880786
 Embakasi Central,Kayole South,-1.2659842,36.9169455,123a7d66020d079addc8a6a1c506eec9c8f5a370,Standard Chattered ATM,-1.2891433,36.90123079999999,atm,3.109861554533692
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,f1f96d08e3e1fb4d4a7349b69d420a7ecc68d358,Coop ATM,-1.1708127000000002,36.8278013,atm,3.1062133395028346
 Embakasi Central,Kayole South,-1.2659842,36.9169455,73887b83084a389175dfd5e9db16a110bdfeb689,Family Bank ATM,-1.2889144,36.9011986,atm,3.090868045590944
 Dagoretti South,Uthiru,-1.2631329,36.7188955,2a838c8a920384fa36f943e1f6c611438284d214,Absa | Branch | Premier Flagship,-1.264419,36.746564,atm,3.0772379043934035
 Lang'ata,Mugumoini,-1.1991235,36.8467412,80fde3c3dcbcf1edde21e8a1757b3a14c20b70a3,BARCLAYS,-1.2256824,36.83988770000001,atm,3.0479992058130496
