constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Embakasi East,Mihango,-1.2692818,36.95299050000001,49dd82730e679b250c01d69420f88286b1ec718a,MUNGAH ENT...,-1.2823141000000002,36.91051629999999,bank,4.936012141461903
 Dagoretti South,Uthiru,-1.2631329,36.7188955,5a396abf216310ae93c069d27c1c47dcdd6943c0,Ukristo Na Ufanisi Wa Anglicana Sacco Limited,-1.2211557,36.7154433,bank,4.680461825221253
 Lang'ata,Karen,-1.3283746,36.7049676,e46d8a36751baf9355f7b0636c81a3075b870934,Post Bank - Ronald Ngala Branch,-1.2993649999999999,36.73278799999999,bank,4.465964174453415
 Embakasi East,Mihango,-1.2692818,36.95299050000001,d39372e558cbf0bd82e3b5596233a336664f4ee1,Equity Agent,-1.2798383,36.9153902,bank,4.338895318481497
 Lang'ata,Mugumoini,-1.1991235,36.8467412,377b85334fa03cb4a2fb5403146d8afde49e258b,24/7 Jiweze Improved Productivity Programme,-1.2374087,36.84389,bank,4.266223515528347
 Westlands,Karura,-1.2369881,36.83255910000001,f068e764d42b600a2451aec87ac3f3b73c087bfb,PesaPoint POS Projection Solutions,-1.272018,36.817229,bank,4.2489820329463965
 Westlands,Karura,-1.2369881,36.83255910000001,73f28aec3622c26127d805e31fad2600d243031b,Co-op Kwa Jirani Eric Wambua Musembi T/ A Lexxy Technologies,-1.2741,36.82539999999999,bank,4.200060693297464
 Westlands,Karura,-1.2369881,36.83255910000001,c83821fccfe4f591f86dac1e6658d0bacd3e4f44,PesaPoint POS Man Dao Investments,-1.268034,36.811108000000004,bank,4.1930816050966975
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,a9e6182753938d0a3e68f93f4c346503e708e401,PesaPoint POS Kiambu Fertilizer,-1.158383,36.818360999999996,bank,4.1770822664022775
 Westlands,Karura,-1.2369881,36.83255910000001,3520ef9f77b8d509d191e142578c8aea3e8c8dc1,Equity Bank Agent,-1.263749,36.807509100000004,bank,4.0729278790981285
 Lang'ata,Mugumoini,-1.1991235,36.8467412,611eebe28a96de27a7cc70155438afc946b52eae,National Bank,-1.210547,36.812557,bank,4.004421222036871
 Lang'ata,Karen,-1.3283746,36.7049676,f2b4a8d76e17c8595997d953a1217dae9e9e47b3,PesaPoint POS Innscor - Ngong Road,-1.307613,36.733989,bank,3.9645978374669673
 Roysambu,Kahawa,-1.1869631,36.912022,09c136772d4fa5f8f92c857edd39c625688e52be,Wayuni Music & Art Distribution Centre,-1.153658,36.920959,bank,3.8319096371557904
 Lang'ata,Karen,-1.3283746,36.7049676,24175f18282e3dc3b0ef78d8a28084f7355608e6,KCB ATM,-1.308286,36.732909,bank,3.8235120859062737
 Kibra,Sarangombe,-1.31226715,36.77745932,142380d1df06fd86c59d4c55aa9114adc89c068c,NIC Bank,-1.3431781999999999,36.76429870000001,bank,3.733211652364689
 Westlands,Karura,-1.2369881,36.83255910000001,6f3a9b353beaa7b566324dd180eb65505af607da,PesaPoint POS Coach Berbers,-1.267508,36.821638,bank,3.602027184310748
 Lang'ata,Karen,-1.3283746,36.7049676,a094cf717ea0a720f40f22b59ac9d4e97233b3bb,PesaPoint POS Pharmart Chemists Ltd - Ngong,-1.334482,36.673590999999995,bank,3.551242615555054
 Embakasi West,Kariobangi South,-1.324728,36.887724,bb0632a96d57f3a0494453acb23fe3fb58f79645,National Bank,-1.336402,36.917425,bank,3.5454937570677565
 Lang'ata,Mugumoini,-1.1991235,36.8467412,2b038adf1f9bc2ffae6c497b5b76be89262aea17,Standard Chartered Bank Ridgeways ATM,-1.2306875,36.8492471,bank,3.518584718473788
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,c9d49603be994ee95192d68e79349b48ec2b7d28,PesaPoint POS Agape Growers - Kiambu,-1.164569,36.823843,bank,3.4926892250683634
 Embakasi East,Upper Savanna,-1.324728,36.887724,9feb80e5065b210887b9209153c2cadcf50874d4,National Bank ATM-Tuskys,-1.317541,36.918031,bank,3.4603991868605046
 Embakasi West,Kariobangi South,-1.324728,36.887724,dccbf903578efd9d452e914871c8931ea18ab85b,PesaPoint POS Nippon Business Snack Shop,-1.3170629999999999,36.917828,bank,3.4511844116323322
 Kasarani,Njiru,-1.2539022,36.9343299,e714e37d4aa44692a897d11822c95eeabd179e36,Equity bank atm- the scepture building,-1.227536,36.918445,bank,3.4203946026611662
 Kasarani,Njiru,-1.2539022,36.9343299,136d0e9f9dae72fc553af5c779ae0ddb0e1ab883,Equity Bank Hunters,-1.2275518,36.918444799999996,bank,3.418902172302618
 Westlands,Kitisuru,-1.2395542,36.7839651,e4f74df9882958bb285e682bd5e14fd14a842ea1,Standard Chartered Bank - Two Rivers Branch CDM,-1.2107526000000002,36.7947782,bank,3.418613514937936
 Kasarani,Njiru,-1.2539022,36.9343299,c4bb9e871f729c7d71f33ba522ed85cb98bd7b68,Equity ATM,-1.2275907,36.918439899999996,bank,3.415481914584704
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,8cebbb46d34a063cb1df71c01699e5b52dc1ce07,PesaPoint POS Cleanshelf Supermarket - Kiambu,-1.165446,36.824723,bank,3.393168821327762
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,fb579f58550103316e7e643bda841f4a03d39809,PesaPoint POS Kamindi Selfridges - Kiambu HQ,-1.165473,36.824739,bank,3.391380126035144
 Dagoretti South,Uthiru,-1.2631329,36.7188955,114fd5af66591b288ee30f0f44ee81a41c17605b,Sidan Bank,-1.2663358,36.7490348,bank,3.3672806086505016
 Kasarani,Njiru,-1.2539022,36.9343299,cd5c15344b5e1167d7093d1ad9bfd207df8e16f9,Postbank Elizawa Agencies,-1.2761617,36.913794,bank,3.365097018429013
 Dagoretti South,Uthiru,-1.2631329,36.7188955,fb6e0e36187c62fc410ed19ece5770ef95687856,Sidian Bank,-1.2662149,36.74892000000001,bank,3.3531995059339548
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,1dd25900a2a22576cb4ff8913c4aa7b031f59029,Pioneer Credit,-1.1673815,36.82519509999999,bank,3.3467336775900534
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,b4214263c5294c341e5dfd66ca1d78eeddffb33a,Pioneer Credit,-1.1673915000000001,36.8252157,bank,3.3445161028742003
 Lang'ata,Mugumoini,-1.1991235,36.8467412,72cb983f95aeb243a5bfbf387ce5388b9585e2b6,Master Mpesa Agencies,-1.2109094,36.8743715,bank,3.3374615851432763
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,1573e5cd4380288f3f3b77a7d1ee0aebc26fafe8,Pioneer Credit,-1.1672917,36.82540469999999,bank,3.3229002664937246
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,953c318187448ae95f2238fab6b74039aaa8d66f,Pioneer Credit,-1.1670986,36.8254262,bank,3.319349809290976
 Kasarani,Njiru,-1.2539022,36.9343299,2e536d3b7331be086c219ea8b13760971b324c4d,Rafiki Deposit Taking Microfinance,-1.2723816000000001,36.91136819999999,bank,3.27483970370937
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,03779d2aaa126256989b9fcbdd3bfd524d50fba8,PesaPoint POS Marinya Candy Shop,-1.168407,36.825925,bank,3.274782370361605
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,038c9e5e4105f7559357e131b10ef787dda99cbe,PesaPoint POS Home Choice - Kiambu,-1.1687450000000001,36.826268000000006,bank,3.240724310503856
