constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Lang'ata,Karen,-1.3283746,36.7049676,c573ed9b071661ef532284000fadbf31b4ddbf06,Op,-1.3465638,36.66387329999999,gas_station,4.9928062540103335
 Lang'ata,Karen,-1.3283746,36.7049676,81942eb32da0cbc206459cd6e8684ffa2a514235,Gataka,-1.3701111000000001,36.72003889999999,gas_station,4.930942688280238
 Lang'ata,Karen,-1.3283746,36.7049676,2987e8f4787c6c23e97ed419be68e4569b256635,Juanco Petrol Station,-1.343235,36.666038,gas_station,4.629426914408058
 Lang'ata,Karen,-1.3283746,36.7049676,bd4abeb46fe7de549461ca20c9c3bfc085519812,Juanco Petrol Station,-1.3429861,36.66607609999999,gas_station,4.615670713626714
 Kasarani,Ruai,-1.2677339,36.9911112,a3a6479d325eb0ba9a991a5ccf71a99ddbda11ef,Oil Libya,-1.2783373,37.0306451,gas_station,4.54743447959329
 Lang'ata,Karen,-1.3283746,36.7049676,03cb47ea044f936db6cad302b7a77e296b92c5d0,Vet Filling Station,-1.3420697,36.666772200000004,gas_station,4.507972351629103
 Dagoretti South,Uthiru,-1.2631329,36.7188955,a796e62130d9fc3fb7ba7bef436774f069f3f156,Total lower kabete petrol station,-1.2249088,36.7059449,gas_station,4.484722122983074
 Dagoretti South,Uthiru,-1.2631329,36.7188955,e160b43ec3f3792428811670286712d5b4667099,Total Lower Kabete Service Station,-1.224796,36.70633300000001,gas_station,4.48298585631064
 Lang'ata,Karen,-1.3283746,36.7049676,ebd8765d7974c1a09a472aa5dd30c6b53883f295,National oil-ngong,-1.3413888999999999,36.6667907,gas_station,4.4810528104909935
 Roysambu,Kahawa,-1.1869631,36.912022,e2a687f5b042e9087e19e2d02530864c1eb88097,Moonstar Filling Point,-1.1519428999999999,36.9288269,gas_station,4.3163223235038
 Lang'ata,Karen,-1.3283746,36.7049676,e76ef1e66f2022df1592aa53b3153a03d9406a77,Hass Petrol Station Karen,-1.3394932,36.7414467,gas_station,4.236807024779772
 Lang'ata,Karen,-1.3283746,36.7049676,a045e92f74ceff86337306b7fd330afa1ea985ba,OLA Energy Elbulbul,-1.3390598,36.6689854,gas_station,4.170066371128558
 Westlands,Kitisuru,-1.2395542,36.7839651,c6ff6cdc797da69a25ac742c74a7cb7f7b555669,Gas Point Depot -Ruaka,-1.2040435,36.773406099999995,gas_station,4.1168091721419415
 Westlands,Kitisuru,-1.2395542,36.7839651,875d32a1022869f91e6bf1aa11e35aa206fb610a,By Grace Kerosene Pump,-1.2042258,36.7734044,gas_station,4.097449077293806
 Dagoretti South,Mutuini,-1.3,36.7,1ef09a222f057966372d8715857188542bd3bb4a,Kobil Station,-1.2692653,36.67991869999999,gas_station,4.079484038606996
 Lang'ata,Karen,-1.3283746,36.7049676,2e64970c549690e658b014d9c66ba5f562f825d9,OLA Energy Embulbul,-1.3381504,36.6699218,gas_station,4.0421283439734745
 Lang'ata,Karen,-1.3283746,36.7049676,4f8a38e91a89d838874be3ee6069cbea1f16907d,Total Karen Service Station,-1.3384559999999999,36.739756,gas_station,4.023913924759752
 Westlands,Kitisuru,-1.2395542,36.7839651,8e3512bf1ba855042651e05a5bd54dd28b898666,Total - ruaka,-1.20367,36.787874,gas_station,4.011213883846974
 Kasarani,Ruai,-1.2677339,36.9911112,ef8c03fe4e05e86887d779303a6e48c927e92db8,Exxen Energy By Pass,-1.2322429,36.98983519999999,gas_station,3.946488340428944
 Westlands,Kitisuru,-1.2395542,36.7839651,13a943fe8434e656ba0c112a5066e4f66f58a07f,Total Kitisuru Service Station,-1.2351609,36.748992,gas_station,3.9160345753008334
 Roysambu,Kahawa,-1.1869631,36.912022,d8f9ffc839d60c7676361b01ed824a912d9e7a7e,Shell Eastern Bypass Ruiru,-1.1537678,36.923558899999996,gas_station,3.9051781969320247
 Lang'ata,Karen,-1.3283746,36.7049676,f7f533b844d6fb6cfc2668fb7146ef52b49e60b5,Total - karen,-1.3327120000000001,36.73970500000001,gas_station,3.8891398453593307
 Kasarani,Ruai,-1.2677339,36.9911112,31bf8f8d75b5b78ba3bbaf105ed1538b2cd3e309,Havgas Plant,-1.2339723,36.986094200000004,gas_station,3.792939472589656
 Kibra,Sarangombe,-1.31226715,36.77745932,a44a95cf2e46e8b979dcb8b8f5bce8ff5d536eb4,Kenol Langata,-1.342468,36.762249,gas_station,3.757476836917904
 Kasarani,Ruai,-1.2677339,36.9911112,784c7dea26a0df498bc6159d42c6ce35020a64cf,shell Fanaka,-1.2339947,36.98995899999999,gas_station,3.751457017084356
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,ee0d36316232efb6e91d7ba5ea14c3243087a810,Mwandus Petrol,-1.1617245,36.82201,gas_station,3.719219523290941
 Kibra,Sarangombe,-1.31226715,36.77745932,7fa26c541cbca1bfb0d72bac851b20158e768734,OLA Energy,-1.3426420000000001,36.764459,gas_station,3.671418233096784
 Lang'ata,Karen,-1.3283746,36.7049676,9ff623d47316c7bc72dd80f49d76aa18e028a83e,Pride Ride Kenya,-1.3353271999999998,36.6726768,gas_station,3.669604824963723
