constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Lang'ata,Karen,-1.3283746,36.7049676,19038c8c703aae9b02ab6f95c5d6ba1834fdbf51,morgars,-1.3465638,36.66387329999999,gym,4.9928062540103335
 Lang'ata,Karen,-1.3283746,36.7049676,d96b626429fa29367789cd9badc46be6a4a5481f,Betty kaveni/Natasha kaveni,-1.3628652,36.733459,gym,4.9708011947904325
 Dagoretti South,Mutuini,-1.3,36.7,6cb54556e2faa5feffc5c847de2fe295664fa950,Edds Place,-1.277743,36.66167069999999,gym,4.924442633779141
 Dagoretti South,Mutuini,-1.3,36.7,0e7e7cbe6bb4b4eaa4eaf7e0b6a8f351e1cc30fb,The Cloisters,-1.2785318,36.66157949999999,gym,4.889847345408669
 Dagoretti South,Uthiru,-1.2631329,36.7188955,db7c5794f31f651a3672f0b4797cbe8913e75e62,Wazito Camp Gym,-1.219747,36.713549,gym,4.857715795147988
 Lang'ata,Karen,-1.3283746,36.7049676,acfa01c17a348b05556af7ea7da44d47abe34ec4,Bumblebee Tennis Academy,-1.3472537,36.7441875,gym,4.835899505938814
 Dagoretti South,Uthiru,-1.2631329,36.7188955,c0cba06f034b3aaac6ad56c2a92efff572143756,Body Poa Gym,-1.2199669,36.7137739,gym,4.830456738475368
 Dagoretti South,Uthiru,-1.2631329,36.7188955,394275b054cffa074199d9bdb0b97e22e5c73741,Fit n Fine Gym,-1.2457457,36.6792789,gym,4.806771340327089
 Dagoretti South,Uthiru,-1.2631329,36.7188955,64de3e56a90d787edb318220c087e7da9c16b8ed,Excuisite Styles Gym & Aerobics,-1.220328,36.712775,gym,4.8050560623526986
 Dagoretti South,Uthiru,-1.2631329,36.7188955,84121775f1c6acb5fa73cea5a2e1dae9c97c7f0f,Kariango kinoo,-1.2471951000000001,36.6790986,gym,4.762909425540029
 Lang'ata,Karen,-1.3283746,36.7049676,ef3fd7f9cc42a7a1918556afc211f62e0ef6d8ae,AliGator Gym,-1.3419913,36.666338700000004,gym,4.5504292242085835
 Dagoretti South,Uthiru,-1.2631329,36.7188955,30d5923f37ff743f9183b59cb27380df0b694615,WOLOWORLD OF FITNESS GYM,-1.2489252,36.6830636,gym,4.28252438781205
 Embakasi East,Utawala,-1.285877,36.98408679999999,6b121416dd5cd5fbc298ea38bbb139dcaf3095e1,Silver Springs Fitness Centre,-1.2986925,37.01983370000001,gym,4.218991859298654
 Roysambu,Kahawa,-1.1869631,36.912022,c0dd38fb9c962dd2b60d3208814aea93c35e114e,Kings Fitness Centre,-1.1611479999999998,36.9368103,gym,3.9766975853575133
 Roysambu,Kahawa,-1.1869631,36.912022,dac3502c1167fd2f73b7888421018abca021c813,Kings Fitness & Recreational Centre,-1.1611113000000002,36.9366354,gym,3.966218108677915
 Lang'ata,Karen,-1.3283746,36.7049676,b94f22f04b364e7b7433a38ab91f650391e69dba,ABBÊ INDOOR CYCLING STUDIO,-1.3630136,36.69737720000001,gym,3.9405452787433104
 Westlands,Karura,-1.2369881,36.83255910000001,7e8089ea193eab0def3a7ccb1f3e2c0a73ebe4b8,Pilates Pasc,-1.2173382,36.803920100000006,gym,3.858994076289965
 Westlands,Kangemi,-1.2654259,36.7525183,501813adde1780b6dd044e94efa297a2ac227603,Kitisuru horse stable,-1.2311187,36.7557998,gym,3.829783356365088
 Lang'ata,Karen,-1.3283746,36.7049676,fc0a4405ab438b9e985358179d5efed81f3bd50a,RyanCliffe,-1.357443,36.687796999999996,gym,3.751422278234098
 Westlands,Kitisuru,-1.2395542,36.7839651,2674f7b3a2b6d5ac615dfd464273a3d0488a13c6,Physiq & Tone Gyms,-1.2065952,36.7844289,gym,3.662935066811908
 Lang'ata,Karen,-1.3283746,36.7049676,d68c232b242eb360c77cbab4acd7ff66cd84e8a1,BIG FIVE KINYOZI EMBUL BUL,-1.334709,36.6745626,gym,3.4504114130001136
 Westlands,Kangemi,-1.2654259,36.7525183,8b5f9495243a01921feee81f57d589d8da706a6f,Core Vibrations Health Studio - Power Plate Center,-1.2351238000000002,36.7492799,gym,3.386490211757794
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,186d924675b8b69a5a2705be1436f5a882b021ce,Raha Gym,-1.1724605,36.8258805,gym,3.353081801682189
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,1b5420919c7fce14f67cf341326ea8352626ec1d,Reymark Hotel Gym,-1.1690029,36.82697019999999,gym,3.166505565875354
 Roysambu,Githurai,-1.2062932,36.9206391,a51005fd5373b4f364aff12b308005ce1d6a9ec3,Evolve Fitness,-1.1952716,36.9464106,gym,3.1141892647652942
 Roysambu,Githurai,-1.2062932,36.9206391,cd52c8f9cf1a08b4c902abc91ac2cefcca7d4d5c,Evolve Barber Cutz and Trimz,-1.1953617,36.946399,gym,3.1090787208297512
 Dagoretti South,Uthiru,-1.2631329,36.7188955,b6bf7123e72ff9ca576affc46e0f3b046c8e4313,KARIANGO,-1.2526258,36.69302529999999,gym,3.1022499051720565
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,aac38ea98e033855dd387b470296010a4059324c,Extrim Fitness Gym,-1.1710795,36.8278972,gym,3.101462221864224
 Dagoretti South,Uthiru,-1.2631329,36.7188955,6de3b2033908b3cd2335f6ed9ef523cb08084317,Way Of Life Gym,-1.2549578000000001,36.692755700000006,gym,3.042863543128404
