constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Kasarani,Ruai,-1.2677339,36.9911112,73375ece91bdfc9381005c0986bb188f0141d40a,Afya precise medical,-1.2779996999999998,37.03400699999999,hospital,4.900262592979584
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,f146fcd7ffb6f6982384145524f48d20b0bd5fac,AAR Healthcare Mountain Mall Outpatient Centre,-1.2328073999999998,36.8738471,hospital,4.8041586143127155
 Kasarani,Ruai,-1.2677339,36.9911112,facb1b5a41f04da1afa9979b7beff5bddc91d0e1,Queen of Peace Community Clinic,-1.2881206,37.0290362,hospital,4.783813845874179
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,84a942caa76ca9abfe903a16f4836127112ad39b,Maximum Medical Centre,-1.2325538,36.8736831,hospital,4.770781280486084
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,80a5f9f14a9204f65703e29554eeae5d12c973de,Aga Khan University Hospital - Thika Road Medical Centre,-1.2328071000000005,36.87310299999999,hospital,4.752747746486176
 Lang'ata,Karen,-1.3283746,36.7049676,9a7e66b0950e21f486c4b992db5f42878ee46f02,Melchizedek Hospital-Ngong,-1.344152,36.6661139,hospital,4.658933309883975
 Dagoretti South,Mutuini,-1.3,36.7,4f40d6265810f6549252e52e5140d19147f97de5,Kikuyu Campus Reproductive Health Unit,-1.2675931,36.6734603,hospital,4.65428440002672
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,8800e8c7aefb437b729887ab216a04d9307fcb89,The Rennaisance Centre,-1.2339468,36.8698793,hospital,4.645764171024177
 Lang'ata,Karen,-1.3283746,36.7049676,6dd7fed9691b38bfe259f2e087366d8ef6a3feeb,Westwood Medical Centre,-1.3443308,36.6663514,hospital,4.642051463839962
 Lang'ata,Karen,-1.3283746,36.7049676,1ac265ea84135b972c42145eefa96e36e10e07e8,Melchizedek Hospital(Branch),-1.3427186000000002,36.6661066,hospital,4.602119161603749
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,ecf1d555e8e248aafba7b2fd65982acbdb369376,Ruiru Hospital Limited,-1.1561771,36.8955846,hospital,4.599786981228723
 Lang'ata,Karen,-1.3283746,36.7049676,e41c50c530cb69b51a2aad38fb8407e4d4d46e44,Lulu Health Care Limited,-1.3420469,36.6662364,hospital,4.563202454609972
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,894c90fe510ff33571af4a2665da689738d95b6b,CARELINK MEDICAL CENTER,-1.233413,36.8667124,hospital,4.409355618851213
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,c4ff242400cf380d4af5ce55e83e8bf9972129f7,Pointnc Medical Clinic,-1.2056997,36.807843,hospital,4.382966754741239
 Lang'ata,Karen,-1.3283746,36.7049676,92ce5d2b37fc2cf90b8a8faa8a7ed5a1390cefbe,gataka public hospital,-1.3624147,36.7245319,hospital,4.362675181223715
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,a54acf43cfa3113b8389bc555f1f32b592880c4b,Alphapet Veterinary Clinic,-1.2336873,36.8650603,hospital,4.346816803980348
 Dagoretti South,Mutuini,-1.3,36.7,322b3db03cea0a6da00ac483bc42759fe4a9d0d9,Goodwill Medical Clinic,-1.2751483,36.67081829999999,hospital,4.258787322048732
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,5f3868587002df6170eadbb386b870f815500285,GYNAECOLOGY CENTRE NAIROBI,-1.2014729,36.80974399999999,hospital,4.118698873636139
 Westlands,Kitisuru,-1.2395542,36.7839651,70ce78536782513dbca13ef45ab4ead3bb5a87bc,Garden Park Medical Centre,-1.2040338,36.7746148,hospital,4.081616755343437
 Kasarani,Ruai,-1.2677339,36.9911112,d0c548013ea04edc74dcd408ae9de38a9a698cbb,Aga Khan University Hospital Medical Center,-1.248909,37.022156,hospital,4.033844190705357
 Embakasi South,Pipeline,-1.0881862,36.5315908,c06f1120ae153c9a2153abccc22933b8bbb01759,Namuncha Dispensary,-1.0633808,36.557239,hospital,3.964700705965804
 Roysambu,Kahawa,-1.1869631,36.912022,d9ac13ee0522c96d0754e194ac03d01c8e43c69b,Lifeline Group Of Hospitals-MEMBLEY,-1.1537379,36.9239233,hospital,3.9217810584637425
 Roysambu,Kahawa,-1.1869631,36.912022,fc6b4d3dd84fef142d20058e6e8db7a2ecddb5e2,The Lifeline Group of Hospitals - Membley,-1.1537299,36.92372879999999,hospital,3.915386686495317
 Lang'ata,Karen,-1.3283746,36.7049676,fbfc482322c467ea49dd2ca062ba29efa1795cf8,Restore Physiotherapy Karen,-1.3455144,36.7349362,hospital,3.835669350045582
 Lang'ata,Karen,-1.3283746,36.7049676,248b74385e8669c81e40ffb2cf30e86e5ab1a4fd,Restore Physiotherapy Hospital,-1.345252,36.73470400000001,hospital,3.7988194941952496
 Embakasi East,Mihango,-1.2692818000000001,36.95299050000001,e8e0297104854a91e8a2866fd302c46593461c1c,Supreme Hospital,-1.2735527,36.9194537,hospital,3.755969334284654
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,598da3d33e8693039f24c331fd00e1513dcc70c8,Kaka Medical Clinic - Kiambu,-1.1615422,36.8217037,hospital,3.75538845800629
 Embakasi East,Utawala,-1.285877,36.98408679999999,83057b322eb757ac4fb86eb162254711eec28a27,sele sele apartment,-1.2891201,37.0165289,hospital,3.6221949396852042
 Embakasi East,Mihango,-1.2692818000000001,36.95299050000001,8f1c51f886f2abbfcb9f1bb594c070625a97b270,Shiply Medical Centre,-1.2802339,36.9224451,hospital,3.605163429466349
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,1f0617a39d1cdd4bea567ab0195f7abf7214e51d,Radiant Hospital - Kiambu Branch,-1.1651266000000002,36.8229703,hospital,3.588210205952508
 Lang'ata,Karen,-1.3283746,36.7049676,68148ed9c1661c6034537e82cdc00a2615feabf1,Equity medical stores,-1.3347141000000002,36.6733477,hospital,3.582759553322984
 Ruaraka,Utalii,-1.25571935,36.8612155,e807854e55405ebb024ab0d82259cfc0d44c9a07,Guru Nanak Hospital,-1.2696694,36.8323581,hospital,3.5611204567961194
 Lang'ata,Karen,-1.3283746,36.7049676,3750793d2929f406125b7e8d3c3e4a5cc19f455a,Embulbul Catholic Dispensary,-1.3353053999999998,36.6738573,hospital,3.5409767436422257
 Westlands,Kitisuru,-1.2395542,36.7839651,3a04e0e2227ec57d018d4fdb98830bfbdc746364,White Pine Medical Centre,-1.2080035,36.7867487,hospital,3.5196878856391765
 Westlands,Karura,-1.2369881,36.83255910000001,a72db5b38a2f089582e2bcac39b165e2ca659289,Avenue Hospital Nairobi,-1.2647075,36.8175444,hospital,3.502995874135535
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,33eedca70039ba00c9fab60a5ae8bb336843f46e,St. Mary's Medical &Lab,-1.1649553999999998,36.82376279999999,hospital,3.50049117345438
 Westlands,Kitisuru,-1.2395542,36.7839651,0827c0c8b2e95f9ae289fc19688ae6b27e35bd39,Brightside Rehabilitation Centre,-1.2257701,36.7568702,hospital,3.3775367646199324
 Embakasi East,Utawala,-1.285877,36.98408679999999,c9d62fff4478cb006d1838d3d5b05926daef4b6b,"Zebra SDA Church, Utawala",-1.3052756,37.0072579,hospital,3.357617451060131
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,21dd67c2f8366ac0c57f7f65174913f2a5890248,Out patient clinic,-1.1666186,36.82527870000001,hospital,3.3334293255534315
 Westlands,Kitisuru,-1.2395542,36.7839651,8086d374cf588ed6145eb1ab26e2dbdb7af00b4b,Kihara Level 4 Hospital,-1.2145118,36.7674875,hospital,3.3309900398510073
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,02290997241c2a490a950d116571c2a50aa516b8,St Anns Medical Clinic,-1.1666323,36.82532179999999,hospital,3.3286972778147677
 Embakasi East,Mihango,-1.2692818000000001,36.95299050000001,650af8600e25046fb2ec3d8c345bb2d91ff4ceff,Rama Medical Clinic,-1.283396,36.926699000000006,hospital,3.315386889811613
