constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Lang'ata,Karen,-1.3283746,36.7049676,d27c1226db4403d100d863f031949fda88d18bca,JKUAT Karen Library,-1.3562557,36.74008500000001,library,4.981964211053842
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,412bd19d42aeec4faac0f0321f75855a5e8ead22,Video library,-1.1722367,36.8243426,library,3.5143246690250884
 Westlands,Kangemi,-1.2654259,36.7525183,6d748bf5785d837abbc51d26c9b0852acbe568e6,Mwai Kibaki Library,-1.2391912,36.738359,library,3.312664600085637
 Westlands,Kangemi,-1.2654259,36.7525183,9e4e29046de3d9d2468dd4a9a23d53bbb220253c,KSG Library,-1.2393671,36.74393320000001,library,3.0488198901961776
 Roysambu,Githurai,-1.2062932,36.9206391,ccc692cdb92c9dab8f58c540baf00e5988a586df,Kahawa Sukari Kiu River,-1.2105997,36.9466235,library,2.9262740410273613
 Roysambu,Kahawa,-1.1869631,36.912022,a136259ef2517a010120ac731401b28c95b304dc,Lecture Rooms,-1.180093,36.9347932,library,2.6425930594016767
 Roysambu,Kahawa,-1.1869631,36.912022,0e8b7bd6adf368dc2a225462cd562b0104b4b81a,Kenyatta University Moi Library (Old Library),-1.1802427,36.934605499999996,library,2.6178412461414897
 Westlands,Karura,-1.2369881,36.83255910000001,8922273d03a10082af8f0bd1ce1745e77a73727f,KTTC Library,-1.2410709999999998,36.81527139999999,library,1.9735110036638583
 Dagoretti South,Uthiru,-1.2631329,36.7188955,5b20dc1e426d12f87c62704a4c931c8164ea53d9,Upper Kabete Campus Library,-1.2524125,36.73219580000001,library,1.89806027471922
 Dagoretti South,Mutuini,-1.3,36.7,866ae6274b1c8f285030bd8499b54bd999cac3c6,African International University Library,-1.3072972,36.684696100000004,library,1.8836845949084189
 Kibra,Laini Saba,-1.31234835,36.79611435,10467f68fae6958a9fb74943f4a5ecb6e98c3949,"School of Medicine library , University of Nairobi",-1.2992139999999999,36.805708100000004,library,1.807289978145231
 Kamukunji,Pumwani,-1.2797575,36.8442693,7fafa432652dcee822f6acd61f8fc21b870ec07d,Mcmillan Memorial Library (Kaloleni Branch),-1.2960076,36.84492150000001,library,1.8072473001852427
 Kibra,Laini Saba,-1.31234835,36.79611435,e58a0d293ce7ccd7c0f3b4b4c6acff6ee202b532,"College of Health Sciences Library, University of Nairobi",-1.2992948,36.8056721,library,1.797681201970185
 Westlands,Kangemi,-1.2654259,36.7525183,3b818dfc2b3fe408a15b26b5a080f36c40f297af,School Library,-1.2580069999999999,36.76673220000001,library,1.7813916275113622
 Westlands,Kangemi,-1.2654259,36.7525183,8895513ad0a94f06b2276cc1e9a88b380eb1f7ca,Nairobi School Library,-1.2580251,36.7667149,library,1.7787572087510497
 Kibra,Laini Saba,-1.31234835,36.79611435,827e2b7abfe991b110a66abbc831a8db41eff435,KMTC Library,-1.2992746000000002,36.80493999999999,library,1.7527308179778256
 Lang'ata,Karen,-1.3283746,36.7049676,f2d1f49cfdc622789ae7f83639f3c7731bbb1746,DSC Library,-1.3187649,36.6927145,library,1.7301458864089183
 Kamukunji,Pumwani,-1.2797575,36.8442693,f02d0a51856672c438115cd49b6f2e1dda844845,"McMillan Memorial Library, Kaloleni Branch",-1.2945034,36.8444919,library,1.6388264132316777
 Starehe,Nairobi Central,-1.2832533000000002,36.8172449,7ae6354e2a9c0a5a7964aaf762402d1c25f0beb5,My Skills Connect,-1.289228,36.805381,library,1.4758245184807957
 Kibra,Sarangombe,-1.31226715,36.77745932,ff52e9ace15d994792238e3f24395d96d0f25bc8,Readers Choice Library & Cyber,-1.3242433999999998,36.7831546,library,1.4736112319135246
 Dagoretti North,Kilimani,-1.2874422,36.7845225,028acecb7f6b93da757f56cd9ceae0d527521013,Kenya High School Library,-1.2748876,36.7810668,library,1.446991818807556
 Starehe,Nairobi Central,-1.2832533000000002,36.8172449,8bed185999a2fa9d380dcdf7be99a09a86620a7d,"Kenya National Library Services, Community Branch",-1.29475,36.81140300000001,library,1.4329738983295022
 Starehe,Nairobi Central,-1.2832533000000002,36.8172449,e2dbfb8574bf2d4173be7f6254cc9d12c2ed980f,Kenya National Library Service,-1.2947476,36.81140029999999,library,1.4328720313354304
 Starehe,Nairobi Central,-1.2832533000000002,36.8172449,824bd243455b8475d715e4614676478b591ada4c,Kenya National Library Service-Headoffice(Nairobi),-1.2947389999999999,36.811397,library,1.4321864518393626
 Mathare,Hospital,-1.2616553999999998,36.84871953,9738ebbebb4efc21161d368e6adfa3b146bbfd0a,Kenya Forest Service Library,-1.2515167999999999,36.842946399999995,library,1.2964267968396308
 Embakasi West,Umoja 1,-1.2778669,36.8881172,06c94ad7a12448034f51de6cc58e4acca19afcf4,Public Library,-1.2670045,36.8849874,library,1.2561687783812252
 Embakasi West,Umoja 2,-1.2818728,36.89933970000001,bc45d3d9d068ac89bf574e78fb231870a0745eec,Mwangaza Primary Library,-1.2778218000000001,36.909352500000004,library,1.2000315989823669
 Dagoretti South,Riruta,-1.2917037,36.7346929,2685e526df65f539348347e42c3d1959e175686b,Lenana School Library,-1.2999931,36.728469200000006,library,1.1517879939587072
 Westlands,Parklands,-1.2630616,36.8106288,44730a703f08cbaa0d9a968d8a9253c47be2a480,Library,-1.2687523,36.8191586,library,1.1392684252958072
 Lang'ata,Nairobi West,-1.3087022,36.8230975,5cd4b2930766c64229fe2552d4f85a794557f6e9,Upper Hill School Library,-1.3000356000000002,36.8177283,library,1.132840419192641
 Starehe,Nairobi Central,-1.2832533000000002,36.8172449,ef66eca0bf05ec8f26ad3527ae8510f38c2d1ca6,Kenyatta University Post-modern Library,-1.2920658999999999,36.82194619999999,library,1.1098777741554735
 Starehe,Nairobi Central,-1.2832533000000002,36.8172449,2516e88bd6a8abb93ac8bb8ab296430bad45f59e,McMillan Memorial Library (Kaloleni Branch),-1.2920658999999999,36.82194619999999,library,1.1098777741554735
 Starehe,Nairobi Central,-1.2832533000000002,36.8172449,a1baabb04ede6c62ff7e11c082cfc219f84d555b,Nairobi School Main Library,-1.2920658999999999,36.82194619999999,library,1.1098777741554735
 Lang'ata,Nairobi West,-1.3087022,36.8230975,da465296c457d79090cc4c9fa7e449d2208acd6e,Jonathan Gloag Academy Library,-1.3122767,36.8139169,library,1.094547855509708
 Starehe,Nairobi Central,-1.2832533000000002,36.8172449,e540f1174715e8d127e33bada3a00a2ad09f82b0,Kenyatta University Bookshop,-1.29132,36.8227383,library,1.0844459607251082
 Starehe,Ngara,-1.277803,36.8300722,6c08eda3c87422687d499a6c8fc2962a757c95bc,Ismail Rahimtulla Walji Trust,-1.2871864,36.8278908,library,1.0705237546526003
 Dagoretti North,Kileleshwa,-1.2723271,36.7996878,93c36ee7393b13deaa7ab428b774b50f0e6bf6bc,Library,-1.2783848999999998,36.8071631,library,1.069052288072016
