constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Lang'ata,Karen,-1.3283746,36.7049676,ddbdf6f77cd594ff0d0c95113822b80f5a12b87d,Signature wines and spirits,-1.344152,36.6661139,liquor_store,4.658933309883975
 Westlands,Kitisuru,-1.2395542,36.7839651,9575efc038c5e77845669234d63ffea925cfbf41,Marekia Stores -Wines and Spirits,-1.2039188,36.7738175,liquor_store,4.117344718695589
 Westlands,Kitisuru,-1.2395542,36.7839651,6ff13290cf6426ff03c02e1b0e4675c1e1b4db40,Peers Wines & Spirits,-1.205015,36.77560700000001,liquor_store,3.948903079652899
 Westlands,Kitisuru,-1.2395542,36.7839651,d85c03be1b80fe245ab0f5e5e140b4ad2ab88ce3,CARAVAN WINES & SPIRITS,-1.2059806,36.7803614,liquor_store,3.752291061727735
 Westlands,Kitisuru,-1.2395542,36.7839651,e3969c6a1ef12ecb11369034b47540617f3615b9,Caravan Wines & Spirits,-1.2067518999999998,36.78245250000001,liquor_store,3.6490309730669206
 Westlands,Kitisuru,-1.2395542,36.7839651,7abae353f3d2f3d4d1642ced8161aeb72cd6bcca,Nectar Wines And Spirits,-1.2068222,36.7839779,liquor_store,3.6373474922382343
 Westlands,Kitisuru,-1.2395542,36.7839651,e3af850da891d51743770334973848fbc8313b22,Liquor Shop,-1.2071419,36.7829316,liquor_store,3.6036502371000356
 Westlands,Kitisuru,-1.2395542,36.7839651,97129fbfa33f8b5d2d7a3c01f7e5d90b9378dc86,Peers Wines & Spirits,-1.2073583,36.784957,liquor_store,3.5794697852714603
 Lang'ata,Karen,-1.3283746,36.7049676,7faed37ce6f3c90f114c52e5dc1fea07847d26af,Sally Wines & Spirits,-1.3337449,36.67324929999999,liquor_store,3.5739256828694845
 Lang'ata,Karen,-1.3283746,36.7049676,ead7987ed60c6567820da4a3c428d472463f6844,New Master Wines and Spirits,-1.3337458,36.67325220000001,liquor_store,3.573624733021296
 Westlands,Kitisuru,-1.2395542,36.7839651,abc6d1b3866a30ccb653c61cda9254cfeffe289e,Unite Wine & Spirits,-1.2076703000000002,36.7861566,liquor_store,3.551457724684762
 Lang'ata,Karen,-1.3283746,36.7049676,37856c2e635b44892f7b46d79b59bca31c5bf7a3,Willa Wines & Spirit,-1.3343928,36.6740088,liquor_store,3.5037883936498435
 Lang'ata,Karen,-1.3283746,36.7049676,3eaf783dd4204a18bcfba6e18e101412a2e0d677,Smooth Wines & Spirits,-1.3356405,36.674335,liquor_store,3.497604340835858
 Lang'ata,Karen,-1.3283746,36.7049676,a42e7503696e850e1e7362e847135121b9d02c3a,Hustlers Wines & Spirits,-1.3343395,36.67436310000001,liquor_store,3.4640209724220443
 Westlands,Kitisuru,-1.2395542,36.7839651,a8f1f89673b86fffff8b68b3c61902721b05557e,Steg Wines & Spirits,-1.2088355,36.7877847,liquor_store,3.439894381766517
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,2596742dc40f8c8b4bf927d4589be822f220b553,Red Oak Liquors,-1.2111928,36.8751321,liquor_store,3.4275471479933786
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,ca45d66f9d85b1399b7da4b1b19a8e79a4f42e60,Celebrations Wines & Spirits,-1.2112245,36.87511039999999,liquor_store,3.4267094647365703
 Westlands,Kitisuru,-1.2395542,36.7839651,f624b309c7fda64225ca53c793a8c784ce1e0fe4,Nector Wines & Spirits,-1.2090802,36.78811029999999,liquor_store,3.4175977428908717
 Lang'ata,Karen,-1.3283746,36.7049676,2ab257f66b951963d2f5bba0cf1e791e1a932a1d,Labierox Wines & Spirit,-1.3344458,36.674969,liquor_store,3.400300676845272
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,9901e0c606825bd3541b5a266f662dd799f2a6a2,Marurui Wines & Spirits,-1.2104753,36.87452370000001,liquor_store,3.3344745738912325
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,faabfa3deb2825943ce3b4efc28b5db2b9961353,Newlands Liquor Store,-1.2106493,36.8731024,liquor_store,3.196561094420241
 Dagoretti South,Uthiru,-1.2631329,36.7188955,5750f0fbb33c11f8f0abc8c728483fad3c9ba50c,PSYNET Technologies,-1.2554757,36.6914895,liquor_store,3.161424076091731
 Westlands,Kitisuru,-1.2395542,36.7839651,cdad1ed9c55ed28006e25d29e1e62374d8239fc2,Chandarana Foodplus Supermarket (Rosslyn Branch),-1.2160248,36.7997667,liquor_store,3.1493895907821865
 Lang'ata,Karen,-1.3283746,36.7049676,b0f354a1f59f50d9d27093b4e25bb660b859e577,Dellman Wines & Spirits Wholesale,-1.3348673999999998,36.6783686,liquor_store,3.0418277933507167
 Westlands,Kitisuru,-1.2395542,36.7839651,30bf53b881d661d2006d2a844d730da3230fc216,Sheridans Wines & Spirits Shop,-1.2192965,36.7658339,liquor_store,3.020812056908913
 Dagoretti South,Uthiru,-1.2631329,36.7188955,bb8e458e00a74a97eeb5e19cca7d21f611f3a1ae,Quins Wines & Spirits,-1.254851,36.693734,liquor_store,2.943001959714812
 Dagoretti South,Uthiru,-1.2631329,36.7188955,30ed864474e616aba5a63fb8eb0dcff1309521f2,Ponn'yz Wines & Spirits,-1.2541614,36.6943148,liquor_store,2.9071635774328843
 Dagoretti South,Uthiru,-1.2631329,36.7188955,d0e7318411f5b0e06539dbcc43f21e199c1ad6ca,Wanjo Wines & Spirits,-1.254394,36.6942377,liquor_store,2.9064731648171955
 Dagoretti South,Uthiru,-1.2631329,36.7188955,58e5eb08bc48509968304c6895ed3a94ca5a1757,Race Wines And Gifts Shop,-1.238529,36.726015,liquor_store,2.846224215736752
 Lang'ata,Karen,-1.3283746,36.7049676,2aa311e9ddf6a29c8fdfea05e4e83fb0868c97a0,Sippers Wines & Spirit,-1.3410001,36.683414600000006,liquor_store,2.7751993206228702
 Lang'ata,Karen,-1.3283746,36.7049676,4bc2a8fc5bb60aa21f3cbc585c74a4d568828821,Galo Wines,-1.329936,36.6802781,liquor_store,2.748367810696132
 Embakasi Central,Spring Valley,-1.2477029,36.78923560000001,529a069dba199a571109c5c50bd0eceef0489212,Liv Vin Wine Shop,-1.2328643,36.8072531,liquor_store,2.593437932390361
 Embakasi West,Kariobangi South,-1.3247280000000001,36.887724,42e12e16e048ea3043de96adbea32a0d4ba8c519,Mradi Wines & Spirits,-1.3158535,36.9090746,liquor_store,2.5688003353403075
 Westlands,Kitisuru,-1.2395542,36.7839651,af81a7100f7af2e1d2f0929a14e84c50523e6dbd,Village Cellar,-1.229793,36.8045435,liquor_store,2.5305190577747725
