constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Dagoretti South,Uthiru,-1.2631329,36.7188955,efd56a55d573ed0ceec12d4b0d856ccb914ee075,Club Hikers,-1.2203517,36.7127808,night_club,4.802357720676753
 Dagoretti South,Uthiru,-1.2631329,36.7188955,86b98a87814b1f96b8b5a1246b081ac1d143aa46,Podleo Club,-1.2205306999999999,36.71337990000001,night_club,4.773667657439368
 Westlands,Kitisuru,-1.2395542,36.7839651,d4e68f90d6f7f68403785ffc332b712121864a7c,99 DEGREES CLUB,-1.2017169,36.766579899999996,night_club,4.627089174733173
 Dagoretti South,Uthiru,-1.2631329,36.7188955,bafbc48f852c4b1b9b9f9de1daef3743db2d3441,Mary wines and spirits,-1.2234587,36.71448,night_club,4.436007643223932
 Embakasi East,Embakasi,-1.324728,36.887724,5d87a771366dee7bc2b0d4753b1291ce22885030,Turkish Airlines Lounge,-1.3305767,36.92638369999999,night_club,4.34380854417647
 Westlands,Kitisuru,-1.2395542,36.7839651,815db6af0027c4bc69a435f9fe2f74fa00d0a54a,Yooh Lounge,-1.2005246,36.78525339999999,night_club,4.339529788683589
 Embakasi East,Lower Savanna,-1.324728,36.887724,acf4194ff762643c73e249d6c074393d17430f62,Smoking lounge,-1.3291594999999998,36.92528679999999,night_club,4.202006993634597
 Westlands,Kitisuru,-1.2395542,36.7839651,1f6b74d8480e3da9e0bb2b402d52cd6c2829c0e5,The Cask Concept 2011 Executive Lounge,-1.202407,36.7854003,night_club,4.131065192451559
 Roysambu,Kahawa,-1.1869631,36.912022,50958eed618271c41297ecfb5885e5db5f9c5406,Sarafina's Club 254,-1.1525889999999999,36.917666,night_club,3.870952386136955
 Westlands,Kitisuru,-1.2395542,36.7839651,7806d18786707e910d2eae1970f05830d16df91c,Playing Fields Club,-1.2396648000000001,36.8186348,night_club,3.851792301078373
 Westlands,Kitisuru,-1.2395542,36.7839651,67e07d1e04ccf5da018f69c0da616ac9ae2a16fc,The Auto Clinic Pub & Grill,-1.2063028999999998,36.793349799999994,night_club,3.839338779649069
 Dagoretti South,Uthiru,-1.2631329,36.7188955,1e9bd91f14f7a59616ea6c6f072bda90f2954fd4,Kaka 3D,-1.2299652,36.70970940000001,night_club,3.8244492319899237
 Kibra,Sarangombe,-1.31226715,36.77745932,719ff3e91bee952b4c0f6dfcb6c02ec17b133d5b,Club M's,-1.3415857,36.7616406,night_club,3.7017759936741808
 Embakasi East,Upper Savanna,-1.324728,36.887724,194b1450d866d83d98011a949cfe132e9b53868e,Madaraka Express Waiting Lounge,-1.3542054,36.90063840000001,night_club,3.576101630331936
 Lang'ata,Karen,-1.3283746,36.7049676,5173719f4d73e42fdbcf4dbcbe6f4e607a620231,Billionaire lounge,-1.3383450000000001,36.7355222,night_club,3.57070937099207
 Westlands,Kitisuru,-1.2395542,36.7839651,8967163726537be35562b8da090c607e66f9bbbc,the Chilz Lounge,-1.2078387,36.786617299999996,night_club,3.536684657619212
 Kasarani,Mwiki,-1.2322833999999998,36.9275102,bf80543471650c0b8a1aca698cf0a70a8d98afac,Champions Lounge,-1.2133386,36.9525646,night_club,3.4900053805698303
