constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,55c5b80a5d0265dcca4803539020e0cf11a361a4,Karunga Primary School,-1.1569688,36.8105591,primary_school,5.057960749982779
 Lang'ata,Karen,-1.3283746,36.7049676,deecd7b97d4f40f26af5fb8b4312d97da859dcb6,Benum Education Center Primary School,-1.3045915000000001,36.74281020000001,primary_school,4.965865750328497
 Westlands,Kitisuru,-1.2395542,36.7839651,88b072e9c7537f479dca9adeadf79799d9f5963c,Moni-Junior Primary School,-1.2113952,36.749801299999994,primary_school,4.9191670340314255
 Westlands,Kitisuru,-1.2395542,36.7839651,ebb19055d01ad6b589c70b6bcda94269830aacba,Valley View Academy,-1.1959017,36.78186470000001,primary_school,4.8564985898514506
 Westlands,Kitisuru,-1.2395542,36.7839651,091169c1392d4a13fb52b8cdb035004f0fe4c0c2,Sifa Primary School,-1.2052382,36.7576374,primary_school,4.8059783009867925
 Lang'ata,Karen,-1.3283746,36.7049676,42bb033e00d1f7eb40a25c446e7742f542b2f7d9,Dosabi Blessed Centre Primary School,-1.2931527,36.7295009,primary_school,4.7695205266178045
 Roysambu,Kahawa,-1.1869631,36.912022,85ac10e7fe590561326f570284a869dc9ee1c458,Ruiru Peak Academy Primary School,-1.1547536,36.939735299999995,primary_school,4.721389713016766
 Lang'ata,Karen,-1.3283746,36.7049676,17fd98e3b777a553c65606824636be4c5687b475,Nkaimurunya Primary School,-1.3683416000000002,36.7183411,primary_school,4.683251266173465
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,091f78dd3373c9e939c382272345bd822fdaf839,Kamiti Anmer Primary School,-1.134449,36.88312020000001,primary_school,4.641135351770578
 Lang'ata,Karen,-1.3283746,36.7049676,e254a2f8ff2bfa2675708650154d2f69e8ef8227,St. Anne Kindergarten and Primary School,-1.3590927,36.7331368,primary_school,4.630957096064837
