constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Lang'ata,Karen,-1.3283746,36.7049676,fedc8291bde951f57c790534d43b6b1d9aac05fa,Tamasha Joint Restaurant,-1.3553598,36.73646610000001,restaurant,4.608427467862271
 Lang'ata,Karen,-1.3283746,36.7049676,f6043c6debea2e045e906de01559a63f98efc131,Nest Reloaded - Zamunda,-1.3423938999999998,36.6662763,restaurant,4.572017796064923
 Makadara,Makongeni,-1.2873101,36.87210716,70636efadb25c200df0ce4f9019f89580bd2d452,Pizza Inn,-1.2988589,36.8370907,restaurant,4.096438301694943
 Roysambu,Kahawa,-1.1869631,36.912022,a3f7c83404d59a3677a10e01a6fbe60c5889c3cf,Masala Bistro,-1.1528094,36.92098729999999,restaurant,3.9238627216492032
 Dagoretti South,Uthiru,-1.2631329,36.7188955,668bc5b2f64c7b0faff36c9c6eac154e856311e6,TULIA - PETALS GARDEN HOTEL,-1.2515762,36.68663220000001,restaurant,3.8075178084606134
 Kibra,Sarangombe,-1.31226715,36.77745932,255c463dff5d3cb9f0809756d3c24bcb732a6d18,Java House - Galleria Mall,-1.3434212,36.7657184,restaurant,3.6995651644806165
 Kibra,Sarangombe,-1.31226715,36.77745932,77c2c39042441fe677376958a5e2af462296d0fd,Galito's,-1.3425889,36.7643708,restaurant,3.6698653412801927
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,17e1aa1933d5ee484f8452e7548ef39c1857abf2,Pizza inn Kiambu Mall,-1.165018,36.8240884,restaurant,3.4641926767876874
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,27a45cb54db3dc2ed917907bd94a9799c0c4ab17,Bahamas Bar & Restaurant,-1.1657896,36.8242564,restaurant,3.4450648360048977
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,d9135a2dfe105de27924a59e36d0df283e1bd943,Green Bite Hotel,-1.1654337,36.82427119999999,restaurant,3.4433701760190045
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,084e611b91f795e78b02ed3509f6f1e1a865413f,Kenchic restaurant,-1.1654124,36.8242951,restaurant,3.440726261386973
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,0bccf27b5ef177c74ce4d3ed53e21886b1eedb0f,Khole Khole Cafe,-1.1665425,36.8252619,restaurant,3.335010571852945
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,c504df61da3ffab75a50857fead1837e84e3275e,Nyumbani sports club ad lounge,-1.174265,36.8265413,restaurant,3.3341280970961016
 Makadara,Harambee,-1.290941,36.89721585,3e5e903d744f39cf887e3e2d8a48cae9cf8e1a04,Just Fish,-1.309681,36.920623,restaurant,3.3315303860790313
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,2cd40f1b54a79add47c58969388417b5ca74e736,Atlantic Foods Cafe,-1.16848,36.82548990000001,restaurant,3.3236807905738117
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,eb0d84239e1e6450b5216b2da05aa2d7ebee6409,Ikons Pub & Resturant,-1.1670882,36.8254878,restaurant,3.312455903223467
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,84919ca55e290094fb777c7d6c4cd434aa586ffb,Ikonz Lounge,-1.1672629,36.8258614,restaurant,3.2720598955233746
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,e8297e3914dfec9fdc8ce5fd566b2493b2c445ba,Rhema Restaurant,-1.1688899,36.826147,restaurant,3.255872197696861
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,53e5be3868ea8c67b52689e88af89f468334a342,Utatu Quality Snack & Bites,-1.1691178999999998,36.82628820000001,restaurant,3.243266505975591
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,a2d6cb7640fc1530ecf9f244a86baba023988106,Degakenias Cafe,-1.1677581,36.8261609,restaurant,3.24249794867822
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,1addc83f5184eacb2492891b0229d090e08143d6,Buffallo Restaurant,-1.1693098999999998,36.8264196,restaurant,3.2314494491751415
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,b98041ff99df20f31e1552f3bb8a87962886dee2,Farm Fresh White Meat,-1.1680492,36.8264736,restaurant,3.210466653554123
 Westlands,Kitisuru,-1.2395542,36.7839651,82de2456fbbdaab692d3608ea70f7ccbf0e50401,Yummy Tikka Bbq,-1.2157096,36.7996123,restaurant,3.1690876264625074
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,c49dbf6da59e722fffff2e5078d42b9efabfd1d9,Zaesco Restaurant and Bar,-1.168792,36.827029,restaurant,3.1572786162281536
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,eda171a5356c1c6215c40bc8366d273939f190a0,Opelaika Snacks,-1.1689985,36.8270694,restaurant,3.1555056655315634
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,06f69f341a3fe31502cc2767949e984b01813c8b,Zaesco Restaurant,-1.168895,36.82705900000001,restaurant,3.1552860428080445
 Westlands,Kitisuru,-1.2395542,36.7839651,2dd6b1929bf3ea1f53fa70340820f57274909b88,Fonda NBO,-1.2160514,36.79971419999999,restaurant,3.143685804634322
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,7ec249c6dd7dc888c669bb4ece3936b53767f4a2,The Office Bar & Restaurant,-1.1677174,36.8270995,restaurant,3.138173529898739
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,756646ee227bc1bfec33e02421db53862343b5f1,The Office Lounges,-1.1678474,36.82725310000001,restaurant,3.1222944602584146
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,8dbee530182dd3873813038522cd8b5916e439fd,Lajoh Dishes Hotel,-1.1683496000000002,36.8274942,restaurant,3.100653550433194
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,2af5f648296beab778366ffd3a26b91cb7c8ef24,Falcons View Delicacies,-1.1704004,36.827873,restaurant,3.090105100637429
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,e5dc271d6af6c15fac3e00929684c358740c5751,Hatchers Inn,-1.17127,36.828075,restaurant,3.0863724764896703
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,d20ed04be101a5b2a474d90ec828a333a39bf17e,Club House Pub & Restaurant,-1.169022,36.8277071,restaurant,3.0855088182626833
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,646a18dba11e75dad28501b39e9ae1bd3b63e100,Wahongo Bar,-1.1691417,36.8277785,restaurant,3.079322973108918
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,36b507e9d55ffadd435d592751712a40e9420ad3,Chicken Inn,-1.1711989,36.8281326,restaurant,3.078494910812871
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,54c0799e07cf0c9b1f0d9024d3397be34c2434e8,Hatchers Inn,-1.1712203,36.82815809999999,restaurant,3.0762052498804704
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,3a8ca2ef690f34b2b362c4e3ae69feb18c9b4c62,Kingangi bar and restaurant,-1.1693355,36.8279616,restaurant,3.0620177711208623
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,49a04c6390ede3c58e321e30ce63de727a2b5cad,Foundation Hotel And Catering Services,-1.1716061000000002,36.8286375,restaurant,3.0332710881809946
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,d144d9aa3130a2e4502502880bb14dd376e160d9,VIP Kamiti Corner,-1.1598367,36.8819169,restaurant,3.029036252898623
 Dagoretti South,Uthiru,-1.2631329,36.7188955,6677a97d4294152f7029b944a66027c1ae049765,Tai's Chciken,-1.2546451,36.6933972,restaurant,2.9857153503604326
