constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Lang'ata,Karen,-1.3283746,36.7049676,b4836c2fe9167523256646e83d9f0ac3b7128136,Ngong Hills Supermarket,-1.3429368,36.6665472,supermarket,4.564771287213537
 Kasarani,Ruai,-1.2677339,36.9911112,cd186812aec938bd67ad7a579758f458b1ef4c42,Otomart Supermarket,-1.2785462,37.0305881,supermarket,4.547396761361532
 Roysambu,Kahawa,-1.1869631,36.912022,326a9bd842336024a206294fd0651290d67316eb,wavemart supermarket,-1.158657,36.9377753,supermarket,4.252172941837991
 Westlands,Kitisuru,-1.2395542,36.7839651,d74fe4473c3e79563fcd7203a61e333cf2860dcc,Joyland Supermarket,-1.2047463,36.7764682,supermarket,3.9566905262660668
 Westlands,Kitisuru,-1.2395542,36.7839651,5ee26dce0991ce23e4588b9770e8d2de91052f00,Wa Muchiri Drive,-1.2047919,36.7765943,supermarket,3.9488078456336093
 Westlands,Kitisuru,-1.2395542,36.7839651,906203c8bdd2c1d39b43339598918acb4b0120e3,Nafuu Wholesale,-1.2049197,36.7793857,supermarket,3.8822444702656336
 Westlands,Kitisuru,-1.2395542,36.7839651,2c2fba123611936f326fef35be55137dfbb9b962,OFFICIAL RUAKA COCA COLA DISTRIBUTORS - BENUE ENTERPRISES,-1.2053356000000002,36.78643720000001,supermarket,3.812451595745715
 Lang'ata,Karen,-1.3283746,36.7049676,2c870a38b9c40beb87f7331455637ed332f27e2d,Sweet World Supermarket Ltd,-1.3344067,36.673539,supermarket,3.555326170741157
 Westlands,Kitisuru,-1.2395542,36.7839651,4c6709e3832bd18353c77761666343583f9787c6,Carrefour Two Rivers,-1.2108621000000002,36.7948156,supermarket,3.408691302556208
 Westlands,Kitisuru,-1.2395542,36.7839651,26e02429e4c43bc22d9bf7df84f8bcab5e8ea621,Carrefour Two Rivers,-1.211071,36.79470519999999,supermarket,3.38264130024767
 Lang'ata,Karen,-1.3283746,36.7049676,e406b13c2fb65bd9112ef2a35708a2f7332ba0bc,Daveg Stores,-1.3335959,36.675014,supermarket,3.377903766896166
 Lang'ata,Karen,-1.3283746,36.7049676,966ae9c14b43ed2503bfa67b2d1daeb9da658429,Davies supermarket,-1.3335436,36.6750643,supermarket,3.371403846754239
 Westlands,Kitisuru,-1.2395542,36.7839651,6a8c6060b010eaac31bea5555d005db52a8b7e47,Daily Bread,-1.2095203,36.7881465,supermarket,3.3696961805904375
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,94583a31580769adc5e91bf0b15366210364fd2f,Twiga Mart Supermarket,-1.1680894,36.82583199999999,supermarket,3.281870656171523
 Lang'ata,Mugumoini,-1.1991235,36.846741200000004,6729a63b805db70bfe61e6948eec5a9434889bf7,DUNAMISTAR MINI SUPERMARKET,-1.2069447,36.8747373,supermarket,3.229532280342235
 Dagoretti South,Uthiru,-1.2631329,36.7188955,3046cdd471b97a25e4613fe226e5b625cb86793c,Gichanga Super-mat Stores,-1.2433578,36.6980592,supermarket,3.191822574550594
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,5362b7663e5fd5daaf1ab7f13e30f9593e2f88d4,"Clean Shelf Supermarket,Terminal 38",-1.1697856000000002,36.8270154,supermarket,3.1731837773941303
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,72845e3c03a498ae2f225e861f2b619427b8945b,Cleanshelf Supermarket,-1.1700055,36.8271448,supermarket,3.1626795574657947
 Westlands,Kitisuru,-1.2395542,36.7839651,cdad1ed9c55ed28006e25d29e1e62374d8239fc2,Chandarana Foodplus Supermarket (Rosslyn Branch),-1.2160248,36.7997667,supermarket,3.1493895907821865
 Westlands,Kitisuru,-1.2395542,36.7839651,7ac4e66041692ea7cefaf473d33dbf31018ccb59,"Chandarana Foodplus, Rosslyn Riviera Mall",-1.2159985,36.7993259,supermarket,3.1248035024003142
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,499bfd9be3cf73fb7a164e7974099c13425b4778,Kamindi Self Fridges Supermarket,-1.1710133,36.8278686,supermarket,3.103135515834639
 Dagoretti South,Uthiru,-1.2631329,36.7188955,ceb5baf834105f126a9209dc9087dc25eaf3b9b0,Fairmart Supermarket (new branch),-1.2526258,36.69302529999999,supermarket,3.1022499051720565
 Dagoretti South,Uthiru,-1.2631329,36.7188955,fce05e3fd9398fdffc2d2f0d8dac641a14b58456,White Market Supermarket,-1.2544811000000002,36.693614200000006,supermarket,2.96870342256814
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,235fe3ab73eed08e310616e13b794769efebf37a,Kamindi Self Ridges Supermarket,-1.1748105,36.8304102,supermarket,2.9459479511739355
 Dagoretti South,Waithaka,-1.2833,36.7166,1b3d2c11b89af2c6b2946cef6c96d1da619cd12f,Supreme Stores Limited,-1.2712262,36.69304279999999,supermarket,2.941023451510695
 Dagoretti South,Uthiru,-1.2631329,36.7188955,cf5b3681f12c5edaa553c8ab2f53d93dfb0eac85,Fairmart Supermarket,-1.2550145,36.6938031,supermarket,2.930065932802714
 Dagoretti South,Uthiru,-1.2631329,36.7188955,7106799dbc71fd97a27b93e33c7168eaa385c996,Fairmart Supermarket Ltd Kinoo,-1.254966,36.693822,supermarket,2.9297333280118694
 Dagoretti South,Uthiru,-1.2631329,36.7188955,a2b6488efffaa62b036ec43a22d9fb1b73ddf9bf,Kismat Self Selection Stores,-1.2549883999999998,36.69384779999999,supermarket,2.9262372628066804
