constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type
 Westlands,Kitisuru,-1.2395542,36.7839651,5026c28bda9d16005b6ac12adb1bab6025cd4134,Chandarana Foodplus Supermarkets (ABC Place Branch),-1.259836,36.777153000000006,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,529a069dba199a571109c5c50bd0eceef0489212,Liv Vin Wine Shop,-1.2328643,36.807253100000004,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,c81b72c53c00e4eef69cb31eeff2bd8f4b22b009,California Wines by Rose,-1.2610569999999999,36.803883500000005,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,7abae353f3d2f3d4d1642ced8161aeb72cd6bcca,Nectar Wines And Spirits,-1.2068222,36.7839779,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,5a5222b3a4ac637a0d59343a73500decf1de0e75,Mpaka Road Wine & Liquor,-1.2644593000000002,36.80552720000001,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,1052ba3f289a738f87e984edc61d1d8209b7250b,Slater & Whittaker,-1.2673286,36.8064362,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,a349f5ed0c32218b082a30a770a11766d6ee5292,Business Promotional Solution,-1.2693223999999999,36.808797600000005,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,7a9bef5a87805ae08db8c578ce5e04fe5f272aeb,Chandarana Foodplus Supermarket (Lavington Branch),-1.2799421999999998,36.7707551,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,81199c1165b5ec0c1ac407d530c3427adfd91576,Sixty Three Wines & Spirits,-1.2363030000000002,36.793131,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,4031481126027b0645c72ba544beb1f9d3c6e50c,Nyari West Liquor Shop,-1.2216251,36.779889000000004,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,8d8f0b6c0435e4d66d04d680088f2493a4f83088,Jomuki Wines And Spirits,-1.2206765,36.77785079999999,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,be242074b072a23f700ef99567318231e91c3fc5,Le Decanter,-1.2595191000000001,36.777488399999996,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,c86f76801afab021125b78507f16a41fc03c30cc,Classic Wines And Spirits,-1.2181258999999998,36.77785650000001,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,af81a7100f7af2e1d2f0929a14e84c50523e6dbd,Village Cellar,-1.2297930000000001,36.8045435,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,9f9c35edc88310ad419406494c9a9a726b6a50f3,Pantry & Provisions,-1.2646745000000001,36.7922626,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,a1205b79eba441a83c76b1daa4f9b0730389cbd4,J U I C E B O X,-1.2376254999999998,36.81086579999999,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,30bf53b881d661d2006d2a844d730da3230fc216,Sheridans Wines & Spirits Shop,-1.2192965,36.7658339,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,908b6931270cdcf115e9edf004d00320a66336b0,Monty's Kenya Limited,-1.2610325,36.80197879999999,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,cdad1ed9c55ed28006e25d29e1e62374d8239fc2,Chandarana Foodplus Supermarket (Rosslyn Branch),-1.2160248,36.7997667,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,3f4207fe4a1427578bbe2dff1263a4b0760ff715,Liquor Pap,-1.2608435,36.80362909999999,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,5026c28bda9d16005b6ac12adb1bab6025cd4134,Chandarana Foodplus Supermarkets (ABC Place Branch),-1.259836,36.777153000000006,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,529a069dba199a571109c5c50bd0eceef0489212,Liv Vin Wine Shop,-1.2328643,36.807253100000004,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,c81b72c53c00e4eef69cb31eeff2bd8f4b22b009,California Wines by Rose,-1.2610569999999999,36.803883500000005,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,7abae353f3d2f3d4d1642ced8161aeb72cd6bcca,Nectar Wines And Spirits,-1.2068222,36.7839779,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,5a5222b3a4ac637a0d59343a73500decf1de0e75,Mpaka Road Wine & Liquor,-1.2644593000000002,36.80552720000001,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,1052ba3f289a738f87e984edc61d1d8209b7250b,Slater & Whittaker,-1.2673286,36.8064362,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,a349f5ed0c32218b082a30a770a11766d6ee5292,Business Promotional Solution,-1.2693223999999999,36.808797600000005,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,7a9bef5a87805ae08db8c578ce5e04fe5f272aeb,Chandarana Foodplus Supermarket (Lavington Branch),-1.2799421999999998,36.7707551,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,81199c1165b5ec0c1ac407d530c3427adfd91576,Sixty Three Wines & Spirits,-1.2363030000000002,36.793131,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,4031481126027b0645c72ba544beb1f9d3c6e50c,Nyari West Liquor Shop,-1.2216251,36.779889000000004,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,8d8f0b6c0435e4d66d04d680088f2493a4f83088,Jomuki Wines And Spirits,-1.2206765,36.77785079999999,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,be242074b072a23f700ef99567318231e91c3fc5,Le Decanter,-1.2595191000000001,36.777488399999996,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,c86f76801afab021125b78507f16a41fc03c30cc,Classic Wines And Spirits,-1.2181258999999998,36.77785650000001,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,af81a7100f7af2e1d2f0929a14e84c50523e6dbd,Village Cellar,-1.2297930000000001,36.8045435,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,9f9c35edc88310ad419406494c9a9a726b6a50f3,Pantry & Provisions,-1.2646745000000001,36.7922626,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,a1205b79eba441a83c76b1daa4f9b0730389cbd4,J U I C E B O X,-1.2376254999999998,36.81086579999999,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,30bf53b881d661d2006d2a844d730da3230fc216,Sheridans Wines & Spirits Shop,-1.2192965,36.7658339,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,908b6931270cdcf115e9edf004d00320a66336b0,Monty's Kenya Limited,-1.2610325,36.80197879999999,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,cdad1ed9c55ed28006e25d29e1e62374d8239fc2,Chandarana Foodplus Supermarket (Rosslyn Branch),-1.2160248,36.7997667,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,3f4207fe4a1427578bbe2dff1263a4b0760ff715,Liquor Pap,-1.2608435,36.80362909999999,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,697c1ead1881cb0bf490ca030d1b59a33573f3fb,Uva Wines Kenya,-1.2627764,36.765291,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,028a94bdba5499943f72617e9dbd34af82d94524,Sikoka Wines and Spirits,-1.2516445,36.756493400000004,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,f624b309c7fda64225ca53c793a8c784ce1e0fe4,Nector Wines & Spirits,-1.2090802,36.78811029999999,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,a8f1f89673b86fffff8b68b3c61902721b05557e,Steg Wines & Spirits,-1.2088355,36.7877847,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,41beb4a2737fb62cd1db2d4c67a54393a08e0762,Jumia Food,-1.2617530000000001,36.805716,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,0bd8f8dd1e4d115f955909675c2a53b93db5add8,Shottaz Liqour Store,-1.2635971000000001,36.803951399999995,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,e8e67ace82a06cb9cf84ceb283c4674c807ff658,The whisky Farm - Waiyaki way,-1.2634733999999999,36.763566499999996,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,d39131db62c405fb83df44f112202f1d82081d73,Okolea Wines and Spirits,-1.2640547,36.804427200000006,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,abc6d1b3866a30ccb653c61cda9254cfeffe289e,Unite Wine & Spirits,-1.2076703000000002,36.7861566,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,97129fbfa33f8b5d2d7a3c01f7e5d90b9378dc86,Peers Wines & Spirits,-1.2073583,36.784957,liquor_store
 Westlands,Kitisuru,-1.2395542,36.7839651,9b5b64c0e42beb2bb37a2c4d9f86bd50367a3e27,Container,-1.2635677,36.80543839999999,liquor_store
