constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type
 Westlands,Kitisuru,-1.2395542,36.7839651,7d3ac1983b6a9dc8803c7d33ee64df9fcf7b2eeb,Spring Valley Police Station,-1.2496156999999999,36.78481639999999,police
 Westlands,Kitisuru,-1.2395542,36.7839651,049641dd32879f70513f2d74f99fd3266aa63f1d,nyari police station,-1.2345686000000002,36.7949756,police
 Westlands,Kitisuru,-1.2395542,36.7839651,6dfbe69ae74890a4eb26b05147260f55a1b303c8,Nyari Police Post,-1.2260461,36.787446100000004,police
 Westlands,Kitisuru,-1.2395542,36.7839651,ea893031ab5155c8c0274493a944f0e1b3952498,Kabete Barracks,-1.2587536,36.7782156,police
 Westlands,Kitisuru,-1.2395542,36.7839651,1d9e54e20c15eadd9e895b70961d26321d8d8246,KIHARA AP POST,-1.2195318000000002,36.77828710000001,police
 Westlands,Kitisuru,-1.2395542,36.7839651,3260818e7c1941ae3b196d96294e38e1f6101402,Gigiri Diplomatic Police Department,-1.2364828,36.809451,police
 Westlands,Kitisuru,-1.2395542,36.7839651,22383a2c30eb389c153fbdd3295c22ce5106832e,Gigiri Police Station,-1.2364989,36.809469799999995,police
 Westlands,Kitisuru,-1.2395542,36.7839651,1d82185f4be0c7f108c70666e8d78ffa9aedf282,Muthangari Police Station,-1.2663719,36.7727649,police
 Westlands,Kitisuru,-1.2395542,36.7839651,fdb92e0f3448b1b6378e572b359a5ee0fd737e4a,Loresho Police Post,-1.2522934,36.7535645,police
 Westlands,Kitisuru,-1.2395542,36.7839651,2c902b778e4eb52c3f00f331a077e7b3d0432989,Kileleshwa Police Station,-1.2754653,36.794226200000004,police
 Westlands,Kitisuru,-1.2395542,36.7839651,d002b0e6cc65412ab9c54810cb3cde1a2d773c35,Parklands Police Station.,-1.2652668,36.8121225,police
 Westlands,Kitisuru,-1.2395542,36.7839651,a2cfa14c9242aeb25531ddcb4f2cf1ff59e678c9,PEU CAMPS PHASE II,-1.2536191,36.8198677,police
 Westlands,Kitisuru,-1.2395542,36.7839651,9adcf876bc72b464cdef8b4aba6ec74cea030803,Police Post,-1.2135666,36.75325999999999,police
 Westlands,Kitisuru,-1.2395542,36.7839651,729c59acaa2b924b5ced71a50f955f5aaabd371b,Kitusuru Adminstration Police,-1.2635627,36.749112,police
 Westlands,Kitisuru,-1.2395542,36.7839651,7eab545ab571c05f748b6cf72ac71f0b8cac5652,kangemi chief's office,-1.2670839,36.75143449999999,police
 Westlands,Kitisuru,-1.2395542,36.7839651,9df969bbb606d4457c1999d6bf01db0331dd06d3,Runda Police Station,-1.222675,36.8232583,police
 Westlands,Kitisuru,-1.2395542,36.7839651,55620766b3c6d526e9094c9a86d3e3e96bcac7e1,Adminstration Police Westlands Division,-1.267046,36.7510016,police
 Westlands,Kitisuru,-1.2395542,36.7839651,6cc76aa81ec62933ff00a28edbc0268e0c1e12a0,Runda Police Post,-1.2236586,36.82292459999999,police
 Westlands,Parklands,-1.2630616,36.8106288,75b561dd3f67e500153fedd17027f3fac31edaa8,Kilimani Police Station,-1.2914363000000002,36.79524239999999,police
 Westlands,Parklands,-1.2630616,36.8106288,605989cc4c1b81083f7368418af4d0bfac362d66,Muthaiga Police Station,-1.2592718,36.843024699999994,police
 Westlands,Parklands,-1.2630616,36.8106288,d6bf4c9d8cf84d523440d3e0771b408f7515d8d0,Central police,-1.2794229,36.8182285,police
 Westlands,Parklands,-1.2630616,36.8106288,2c902b778e4eb52c3f00f331a077e7b3d0432989,Kileleshwa Police Station,-1.2754653,36.794226200000004,police
 Westlands,Parklands,-1.2630616,36.8106288,d002b0e6cc65412ab9c54810cb3cde1a2d773c35,Parklands Police Station.,-1.2652668,36.8121225,police
 Westlands,Parklands,-1.2630616,36.8106288,a2cfa14c9242aeb25531ddcb4f2cf1ff59e678c9,PEU CAMPS PHASE II,-1.2536191,36.8198677,police
 Westlands,Parklands,-1.2630616,36.8106288,0d7b73ff26976d3ad960abe1dfdb42ba30d06524,Kenya Police Staff Sacco Head Office,-1.2730178,36.819348,police
 Westlands,Parklands,-1.2630616,36.8106288,0d54256604b1f17cdf45e64bcc95acd2e2b6624f,"Administration Police Post, Ngara",-1.2759566999999998,36.8258852,police
 Westlands,Parklands,-1.2630616,36.8106288,3d51dfa506d4c653d4d5e5b7df187ed7f5376e95,A. P Camp City Park,-1.2630076000000001,36.8318196,police
 Westlands,Parklands,-1.2630616,36.8106288,ee0d77e0a6d029adaf38f0edc30b89900245e0f8,A.P BASE Pangani,-1.2628283000000002,36.83562729999999,police
 Westlands,Parklands,-1.2630616,36.8106288,0b2c09236e24a9adda7fca8de5f04bdae331061b,Starehe Division Police Station,-1.2696276000000002,36.83503380000001,police
 Westlands,Parklands,-1.2630616,36.8106288,7cd4054e6131e4408833e09f4122db587e547117,Pangani Police Station,-1.2699696000000003,36.8360283,police
 Westlands,Parklands,-1.2630616,36.8106288,8d7805e00e10d6561023a40a360d05923b9a8081,CBD police post,-1.2843921,36.8261914,police
 Westlands,Parklands,-1.2630616,36.8106288,22383a2c30eb389c153fbdd3295c22ce5106832e,Gigiri Police Station,-1.2364989,36.809469799999995,police
 Westlands,Parklands,-1.2630616,36.8106288,3260818e7c1941ae3b196d96294e38e1f6101402,Gigiri Diplomatic Police Department,-1.2364828,36.809451,police
 Westlands,Parklands,-1.2630616,36.8106288,06ab1448bd693a09ac2870dcdeb107552fec61c2,Criminal Investigation Department,-1.2896794,36.8068039,police
 Westlands,Parklands,-1.2630616,36.8106288,68006201ef944f6f35b0b59ad1bc85efc864adbc,County Police H Q,-1.2900593,36.808228899999996,police
 Westlands,Parklands,-1.2630616,36.8106288,18a6c0c254454e582165496e1991af3e41387f05,"National Police HQ, Jogoo Hs",-1.2882657,36.824507200000006,police
 Westlands,Parklands,-1.2630616,36.8106288,7d3ac1983b6a9dc8803c7d33ee64df9fcf7b2eeb,Spring Valley Police Station,-1.2496156999999999,36.78481639999999,police
 Westlands,Parklands,-1.2630616,36.8106288,58a2a355baf084509e499f58c354b4c5466ea5a3,Vigilance House,-1.2896696,36.82361849999999,police
 Westlands,Parklands,-1.2630616,36.8106288,75b561dd3f67e500153fedd17027f3fac31edaa8,Kilimani Police Station,-1.2914363000000002,36.79524239999999,police
 Westlands,Parklands,-1.2630616,36.8106288,605989cc4c1b81083f7368418af4d0bfac362d66,Muthaiga Police Station,-1.2592718,36.843024699999994,police
 Westlands,Parklands,-1.2630616,36.8106288,d6bf4c9d8cf84d523440d3e0771b408f7515d8d0,Central police,-1.2794229,36.8182285,police
 Westlands,Parklands,-1.2630616,36.8106288,2c902b778e4eb52c3f00f331a077e7b3d0432989,Kileleshwa Police Station,-1.2754653,36.794226200000004,police
 Westlands,Parklands,-1.2630616,36.8106288,d002b0e6cc65412ab9c54810cb3cde1a2d773c35,Parklands Police Station.,-1.2652668,36.8121225,police
 Westlands,Parklands,-1.2630616,36.8106288,a2cfa14c9242aeb25531ddcb4f2cf1ff59e678c9,PEU CAMPS PHASE II,-1.2536191,36.8198677,police
