constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type
 Westlands,Kitisuru,-1.2395542,36.7839651,58e6602dba8cebe72c2af561ee106fa8ab2f2039,Hotel Emerald,-1.2643511,36.8038573,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,4a059c529db87ce144be975c765fea13c391c450,Pots And Palms,-1.270271,36.797406,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,6e1330bf17c69b4380ecb461c6850ae43a095d4f,Cloud Hotel & Suites,-1.2580078000000001,36.818543299999995,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,b522a0e97ccde87dea1bf2f922e59156258da2a0,dusitD2 nairobi,-1.2697508,36.8037479,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,7e945b30a5b751a8146f252463ee54c8b16c8135,"Tribe Hotel, Village Market",-1.2271201,36.8058608,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,f991c4dcf690c6574500d613b72a232b63a342fe,Ambience,-1.2607028,36.77536010000001,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,e942d0cf5359f80c66908c3b8116e04b39b1f09c,Alan Bobbe's Bistro,-1.264054,36.781331,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,cdcfa859b8b2b4f5c4ec03582d1d28f69e1411d9,Amaica Restaurant,-1.2484604,36.8002155,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,aadc82360aadde7f90bfa3c7556682e59fa76781,LS hospitality Concept,-1.2605511999999999,36.7748022,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,8d769c503afed72955b85a75872b7ecb9b510106,Bukhara by Haandi,-1.2570358999999998,36.80320579999999,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,066776f7f8e3262ff15f713fde9f4cdd67ddbc2e,Chinese Kitchen,-1.2364553999999999,36.793050799999996,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,a561b9e1bcc3e225b8364c62c112981ddd77ba66,The Muthaiga Grill,-1.2361991,36.7931131,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,73f6744057010c6d601417b4c4229d519bfc3ace,Abhi's,-1.2495582,36.7897958,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,a88363c04508e5dd1cd4139fc2bd0fc325f6bb0d,Bamboo at Zen Garden,-1.2441443,36.76895270000001,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,ed966a2fe2e3d803e2e488a39618e1084d757aa0,Asmara Restaurant Westlands,-1.2530843,36.798450200000005,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,88acc56e40068e8c90a91f3c96eaceb1cbd72cda,Jade at Zen Garden,-1.2448629999999998,36.768668,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,50e8fd057bb62f9d45eb28f11d0fdde4de555d51,Spring Valley Oven,-1.2541923000000001,36.79255680000001,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,929dbb897bcb08aad246280a32a264692661bf39,Mint Shack,-1.2485838,36.7986819,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,5a3033c6b9d9c20b5fc47ffd18c5d26e62ed36e8,KFC,-1.2585239,36.781459600000005,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,fe864e74e300c8250b20a10e634146f133473eee,Take Eat Easy Kenya MAISHANI,-1.2581537,36.788549700000004,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,58e6602dba8cebe72c2af561ee106fa8ab2f2039,Hotel Emerald,-1.2643511,36.8038573,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,4a059c529db87ce144be975c765fea13c391c450,Pots And Palms,-1.270271,36.797406,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,6e1330bf17c69b4380ecb461c6850ae43a095d4f,Cloud Hotel & Suites,-1.2580078000000001,36.818543299999995,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,b522a0e97ccde87dea1bf2f922e59156258da2a0,dusitD2 nairobi,-1.2697508,36.8037479,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,7e945b30a5b751a8146f252463ee54c8b16c8135,"Tribe Hotel, Village Market",-1.2271201,36.8058608,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,f991c4dcf690c6574500d613b72a232b63a342fe,Ambience,-1.2607028,36.77536010000001,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,e942d0cf5359f80c66908c3b8116e04b39b1f09c,Alan Bobbe's Bistro,-1.264054,36.781331,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,cdcfa859b8b2b4f5c4ec03582d1d28f69e1411d9,Amaica Restaurant,-1.2484604,36.8002155,restaurant
 Westlands,Kitisuru,-1.2395542,36.7839651,aadc82360aadde7f90bfa3c7556682e59fa76781,LS hospitality Concept,-1.2605511999999999,36.7748022,restaurant
