,constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type
0, Roysambu,Kahawa,-1.1869631,36.912022,408754ae9d0c7b45d7b138443cf5086105f088b2,Kahawa Sukari Police Post,-1.194805,36.9454464,police
1, Roysambu,Kahawa,-1.1869631,36.912022,22bef42bd3bdaa63dd72e5b946abf9577b223166,KM Police Station,-1.1722503,36.9282001,police
2, Roysambu,Kahawa,-1.1869631,36.912022,b36c6e8009807dd89f5dee3bcf34b6af422d015a,Kiamumbi Police Station,-1.1871466,36.89213279999999,police
3, Roysambu,Kahawa,-1.1869631,36.912022,b3cac9aabfc9adf1533ad14593e9852c06614614,Njathaini police post,-1.1990493,36.8884685,police
4, Roysambu,Kahawa,-1.1869631,36.912022,395a53e9a87aa9e230ebdb46f41273a480de8e13,Clay Works New Police Depot,-1.2136373,36.9083805,police
5, Roysambu,Kahawa,-1.1869631,36.912022,1bb8176312989d81d452d2c2e6f56ab91f8c6bef,Membley Police Station,-1.1655748,36.9331136,police
6, Roysambu,Kahawa,-1.1869631,36.912022,419cf27905ce8c63dcbc98dac6598c7e39784d21,Githurai/Kimbo Police Station,-1.215967,36.9306224,police
7, Roysambu,Kahawa,-1.1869631,36.912022,702560f0e202d39030144cf40470cb8d96d2c6ce,kasarani police station,-1.2195529,36.89405289999999,police
8, Roysambu,Kahawa,-1.1869631,36.912022,8240790690940a6c51075de82669022f9e3baa79,Kasarani Traffic Unit,-1.2203799,36.8929482,police
9, Roysambu,Kahawa,-1.1869631,36.912022,03df24a553f1bc7f41b7fd86ef83e5c751d47d7a,Ruturu Police Post,-1.153053,36.8835762,police
10, Roysambu,Kahawa,-1.1869631,36.912022,f6957d4b6d124a208d0e00076a88d6a2728ae4be,Kasarani Police Station,-1.2195671,36.8932931,police
