,constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type
0, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,3afa47cca8e47c159f70b3d19bae6c601fc31a62,Naivas Head Office,-1.3264725,36.86791770000001,supermarket
1, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,11ae769ad480692d7b8a5655abccb9b942e187bc,Tuskys Supermarket (Chap Chap Libra),-1.3316076,36.86657,supermarket
2, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,368357f4ccc3ec925a805a5f5ae1e60933da9825,Tuskys Supermarket,-1.3315995,36.8667859,supermarket
3, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,432bdb90cc3d2e44445e6740c81bdd733e4cd6b7,Choppies Enterprises Kenya Ltd,-1.3233376,36.86635440000001,supermarket
4, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,0bdcf98a830d0016f015d76f02c315a3856e8ecf,Uni Industries East Africa Ltd,-1.3266059,36.8520325,supermarket
5, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,5e75acbdbb149ef0ed2f6231f70948675f54db73,Naivas Supermarket Hazina,-1.3144206,36.8489297,supermarket
6, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,8652997cfca2f6989c74c21406117ee6a263bd33,Naivas Supermarket- Donholm,-1.2959188,36.88715860000001,supermarket
7, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,ae08191c7e4fa31bf175a1413f9cdaf9f6abafc2,Uchumi Supermarket,-1.295784,36.8607814,supermarket
8, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,37a039640f6088f4fefc9f96911fef86b793f6e4,Naivas Supermarket - Eastgate,-1.293916,36.8971609,supermarket
9, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,8c102c32b57ac9234d049eb97ac1c2d8dd75328e,Homedirect Supermarket-South B,-1.310938,36.836721,supermarket
10, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,52665fc527b079de189ffc9c60475ab1d02236dc,Tuskys Buruburu Supermarket,-1.2871643,36.8808933,supermarket
11, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,bad9e504d33db09b77f66d0b3d6ade20190a276e,Jeska Supermarket,-1.2877354,36.8914605,supermarket
12, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,2a242865f82920a75c6264b5e03b5fceccefea72,Patmac Enterprises,-1.2867774,36.889349,supermarket
13, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,5fc24c398f9dcab83d19c4dba92ea7c4ffc1c6b8,mzuri sweets ltd Nairobi depot,-1.3200121,36.8708123,supermarket
14, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,c25beb9e32cfe415dfc7932c591e79ed098fa43d,Choppies Distribution Center Kenya CDC,-1.3233406,36.8665425,supermarket
15, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,a8c986ee226076bbe36381a9b589be75817c13d8,Delynas Supermarket,-1.3231362,36.88391319999999,supermarket
16, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,64a7a3b220bd0bc9a15c8f4833b93ef07df6e00c,mombasa路中国超市,-1.3301378,36.8632105,supermarket
17, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,f7c72b30b96faddb18c6beb937ca020bdde7bd6d,Nicholas Green Grosa,-1.3232635,36.885559,supermarket
18, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,52050169698bfb336661dde399511349259e29b1,Bokola Supermarket,-1.32311,36.8855882,supermarket
19, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,7a976e479d0da3884ecf3edc6d245888edef7d95,JOMKA GEN SHOP,-1.3246411,36.8879378,supermarket
20, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,a27eab36f929f2c29b1b070a58c1e1a4deeaedb0,Lupo Mart Shop,-1.3228721,36.887525,supermarket
21, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,67d41fb18c7352dc519e1e4c10427db0351269d1,Transmart Supermarket,-1.3246818,36.8883573,supermarket
22, Embakasi South,Imara Daima,-1.3285901000000002,36.8743999,fd048e6f6ecfa6a9bd5dd0038beb2c3ab0ac0e45,Supermarket,-1.3242,36.8888886,supermarket
