,constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type
0, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,54c5746a15de1a8ce74591a8bf0402c389dd8a84,Kent pharmacy,-1.2950586,36.7990489,pharmacy
1, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,02499beed24afb74e05241d52e10a1d9a4f65c72,Kam pharmacy,-1.284424,36.823318,pharmacy
2, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,0aa9890387c40a928baf7b14a61f42741bab40a8,Yaya Chemists Limited,-1.292666,36.788214,pharmacy
3, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,3537cc32907ce859ba6575225adbae60f7d49624,Kam Pharmacy Ltd,-1.2650821,36.80441090000001,pharmacy
4, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,f304d7fbd2cffd9650b9bbe494d4e754cdd36c36,Pentapharm,-1.2579991,36.8023147,pharmacy
5, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,2797d719e2b782dc68899048bd7b33c536d5cb87,Acacia Pharmacy,-1.2567394,36.8030405,pharmacy
6, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,33551e9baa94cfe61f3bd9c6dc16bc93eddc34bf,Omaera Pharmaciticals,-1.277066,36.8215367,pharmacy
7, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,4431b4a07f35223015181db8eb3fae20b12c0b1f,HILLS PHARMACEUTICALS,-1.2726088,36.8224411,pharmacy
8, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,83ad855679a8a0039324e4937fa98255026e41be,Eurox Pharmaceutical Ltd,-1.2823107,36.815955,pharmacy
9, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,6dfc78c13283c0932a1f6c4b8eb32233c6c6d327,AG Pharmaceutical,-1.2542561,36.792355,pharmacy
10, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,1ffd27654a90a8bc68e29a31111401c368ba3007,Doveypharma Limited,-1.263829,36.803099,pharmacy
11, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,64a3d89afa89fcbf76fd72ac17c4be0fa7e65772,Pentapharm Chemist,-1.2646569,36.8051128,pharmacy
12, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,f9dd7302d753ea2084969e74dabaf28dd294d42f,Dischem Pharmacie,-1.282101,36.82303999999999,pharmacy
13, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,a858130c0f59ef6081e6d1b83d95632b1852d686,Ripple Pharmaceuticals Ltd,-1.2695653,36.8168282,pharmacy
14, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,c86cc78949d785c64082f2eb12bad4166454a205,Doveypharma Head Offices,-1.2643631,36.8026124,pharmacy
15, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,3c8184803c018b2a90508ea14092b7ecf67bc7a3,Goodlife Pharmacy Westlands Arcade,-1.2640363,36.8022466,pharmacy
16, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,f938268081a10940572b9c9858c0286e62952770,Goodlife Pharmacy Westlands Square,-1.2639943,36.8022533,pharmacy
17, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,f06b7ef26d334fe6e69244b1431cd180378c8e2c,Kam Pharmacy,-1.2650003,36.8047668,pharmacy
18, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,588447ea81d7371af998a9b05f7cdad7c665aa89,DOVEYPHARMA HQ,-1.2639086,36.80330059999999,pharmacy
19, Dagoretti North,Kileleshwa,-1.2723271,36.799687799999994,0198e32352de94aa3044705adb800e678e7f9acf,Abha Light Pharma,-1.264398,36.80438699999999,pharmacy
