,constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type
0, Kamukunji,Eastleigh South,-1.2778285,36.8486835,02499beed24afb74e05241d52e10a1d9a4f65c72,Kam pharmacy,-1.284424,36.823318,pharmacy
1, Kamukunji,Eastleigh South,-1.2778285,36.8486835,1c21f916d9d11a6a583297e0775618eac9a72917,Penta Pharm Limited,-1.2868857,36.8271961,pharmacy
2, Kamukunji,Eastleigh South,-1.2778285,36.8486835,016be2f19ae18c65aeb2cbb089ee7784d2f6cd20,Nairobi Veterinary Center,-1.287867,36.82748600000001,pharmacy
3, Kamukunji,Eastleigh South,-1.2778285,36.8486835,18368a2ef5b8efbe0a480600bd2a92a8de9b68d8,Jeys Pharmacy,-1.2775149,36.8308113,pharmacy
4, Kamukunji,Eastleigh South,-1.2778285,36.8486835,4431b4a07f35223015181db8eb3fae20b12c0b1f,HILLS PHARMACEUTICALS,-1.2726088,36.8224411,pharmacy
5, Kamukunji,Eastleigh South,-1.2778285,36.8486835,33551e9baa94cfe61f3bd9c6dc16bc93eddc34bf,Omaera Pharmaciticals,-1.277066,36.8215367,pharmacy
6, Kamukunji,Eastleigh South,-1.2778285,36.8486835,431ae9f3fa7bdd3b804b7f200a234b23d388e69b,Eltons' Pharmacy Ltd,-1.2873677,36.8247303,pharmacy
7, Kamukunji,Eastleigh South,-1.2778285,36.8486835,f9dd7302d753ea2084969e74dabaf28dd294d42f,Dischem Pharmacie,-1.282101,36.82303999999999,pharmacy
8, Kamukunji,Eastleigh South,-1.2778285,36.8486835,59547f80da47fb4e2c26513d4b2071656f65a617,Njimia Pharmaceuticals,-1.2852486,36.8316707,pharmacy
9, Kamukunji,Eastleigh South,-1.2778285,36.8486835,c2c3aee2c93c379c54a300623be20f520d5a457a,Inkamed Pharmaceuticals,-1.287495,36.8254463,pharmacy
10, Kamukunji,Eastleigh South,-1.2778285,36.8486835,ac3943a7bfa54af2e971b70f7845457de992a62b,drugs.co.ke,-1.2867996,36.82600559999999,pharmacy
11, Kamukunji,Eastleigh South,-1.2778285,36.8486835,e635ecf29cb8a02f4f3f0a1d98e14dcb89907784,Eastleigh Pharmaceutical Ltd,-1.2779357,36.85174070000001,pharmacy
12, Kamukunji,Eastleigh South,-1.2778285,36.8486835,b0280c6981a4e5c9817a06c06168cb5de4bedf8a,Chemist Medipharm (EA Ltd),-1.286566,36.826746,pharmacy
13, Kamukunji,Eastleigh South,-1.2778285,36.8486835,9be3cbb96203317101b2d952acd7ffd7ea9b58c8,Lued Chemicals Ltd,-1.2871957,36.8377883,pharmacy
14, Kamukunji,Eastleigh South,-1.2778285,36.8486835,3f5a5f0ede80660e4f43018691067e7900246797,Kamed Pharm Limited,-1.2873893,36.8374477,pharmacy
15, Kamukunji,Eastleigh South,-1.2778285,36.8486835,ef894a1135e7e10d7b70af64c3b053eff00d37ab,Touchstone Pharmacy,-1.2782077,36.8325463,pharmacy
16, Kamukunji,Eastleigh South,-1.2778285,36.8486835,2dbe3f3612fb6468c7a07214b168a4f36446b7b6,The New Lemuma Pharmacy,-1.2864603,36.8268283,pharmacy
17, Kamukunji,Eastleigh South,-1.2778285,36.8486835,f3389a3ece0640079acd1d457ef18546c04bb9bd,Northern Pharmacy,-1.2859268,36.8265541,pharmacy
18, Kamukunji,Eastleigh South,-1.2778285,36.8486835,364ece01e9929e8eb79234f4fa40042d9ad157dc,M-Pesa RangeChem,-1.2870626,36.8291334,pharmacy
19, Kamukunji,Eastleigh South,-1.2778285,36.8486835,cf43e89e54deef6e79f9853c69f9ca1e7a0ea6ec,Haltons Pharmacy,-1.2957719,36.8607567,pharmacy
20, Kamukunji,Eastleigh South,-1.2778285,36.8486835,5ba797f91d35e2be39f49e06ad574dbf1966d3aa,Krishna Chemists,-1.2982678,36.8384866,pharmacy
21, Kamukunji,Eastleigh South,-1.2778285,36.8486835,b2f2f387737d24fde79ce0ce753e0e84ded97ee3,Nila Chemist Wholesale and Retail,-1.2860453,36.8270928,pharmacy
