Region,Total,Male,Female
KENYA,"47,564,296","23,548,056","24,014,716"
MOMBASA,"1,208,333","610,257","598,046"
CHANGAMWE,"131,882","68,761","63,121"
CHANGAMWE,"131,882","68,761","63,121"
CHAANI,"38,785","20,474","18,311"
CHAANI,"38,785","20,474","18,311"
CHANGAMWE,"9,033","4,593","4,440"
CHANGAMWE,"2,778","1,423","1,355"
KHAMISI,"6,255","3,170","3,085"
KWA HOLA,"18,568","9,530","9,038"
KWA HOLA,"18,568","9,530","9,038"
PORT REITZ,"65,496","34,164","31,332"
PORT REITZ,"65,496","34,164","31,332"
JOMVU,"163,415","83,002","80,410"
JOMVU,"163,415","83,002","80,410"
MIKINDANI,"61,401",333,"30,213"
BIRIKANI,"20,372","10,977","9,395"
KWA SHEE,"41,029","20,210","20,818"
MIRITINI,"102,014","51,815","50,197"
JOMVU KUU,"64,993","32,606","32,385"
MIRITINI,"37,021","19,209","17,812"
KISAUNI,"291,930","146,748","145,176"
BAMBURI,"123,755","61,458","62,293"
BAMBURI,"123,755","61,458","62,293"
BAMBURI,"55,100","26,526","28,574"
MAUNGUJA,"1,862",893,969
MWAKIRUNGE,"9,031","4,602","4,429"
MWEMBE LEGEZA,"46,718","22,935","23,782"
SHANZU,"11,044","6,502","4,539"
KISAUNI,"168,175","85,290","82,883"
KISAUNI,"168,175","85,290","82,883"
JUNDA,"81,432","42,188","39,244"
MAGOGONI,"86,743","43,102","43,639"
LIKONI,"250,358","126,962","123,392"
LIKONI,"163,262","83,636","79,623"
LIKONI,"163,262","83,636","79,623"
BOFU,"26,937","14,257","12,680"
LIKONI,"21,805","11,347","10,458"
TIMBWANI,"114,520","58,032","56,485"
LONGO,"87,096","43,326","43,769"
MTONGWE,"33,036","16,956","16,080"
MTONGWE,"33,036","16,956","16,080"
SHIKAADABU,"54,060","26,370","27,689"
VIJIWENI,"33,057","16,167","16,890"
VYEMANI,"21,003","10,203","10,799"
MVITA,"154,171","75,565","78,601"
ISLAND,"154,171","75,565","78,601"
GANJONI,"17,373","8,594","8,778"
GANJONI,"17,373","8,594","8,778"
MAJENGO,"38,120","18,066","20,053"
MAJENGO,"38,120","18,066","20,053"
MWEMBE TAYARI,"8,976","4,451","4,525"
MWEMBE TAYARI,"8,976","4,451","4,525"
OLD TOWN,"19,489","9,249","10,239"
OLD TOWN,"19,489","9,249","10,239"
RAILWAY,"5,952","3,066","2,886"
RAILWAY,"5,952","3,066","2,886"
TONONOKA,"27,966","13,905","14,059"
TONONOKA,"17,626","8,760","8,865"
BONDENI,"10,340","5,145","5,194"
TUDOR,"36,295","18,234","18,061"
TUDOR,"36,295","18,234","18,061"
NYALI,"216,577","109,219","107,346"
FRERE TOWN,"105,484","51,829","53,645"
FRERE TOWN,"50,309","24,890","25,412"
FRERE TOWN,"31,254","15,607","15,647"
MLA LEO,"19,055","9,283","9,765"
KADZANDANI,"55,175","26,939","28,233"
MBUNGONI,"12,251","6,203","6,048"
MWATAMBA,"42,924","20,736","22,185"
KONGOWEA,"111,093","57,390","53,701"
KONGOWEA,"65,766","34,411","31,354"
KONGOWEA,"33,920","17,729","16,190"
MKOMANI,"31,846","16,682","15,164"
MAWENI,"45,327","22,979","22,347"
MAWENI,"17,724","8,575","9,149"
ZIWA LA NG'OMBE,"27,603","14,404","13,198"
KWALE,"866,820","425,121","441,681"
KINANGO,"94,220","45,413","48,806"
KINANGO,"56,047","26,907","29,140"
KINANGO,"26,144","12,374","13,770"
DUMBULE,"7,484","3,628","3,856"
KIBANDAONGO,"8,346","3,957","4,389"
KINANGO,"10,314","4,789","5,525"
PUMA,"8,821","4,223","4,598"
MAZOLA,"8,821","4,223","4,598"
VIGURUNGANI,"21,082","10,310","10,772"
BUSA,"9,758","4,848","4,910"
VIGURUNGANI,"11,324","5,462","5,862"
NDAVAYA,"38,173","18,506","19,666"
NDAVAYA,"38,173","18,506","19,666"
GULANZE,"6,428","3,061","3,367"
KIFYONZO,"13,024","6,258","6,766"
MWANDIMU,"11,693","5,757","5,936"
NDAVAYA,"7,028","3,430","3,597"
LUNGA LUNGA,"198,423","97,174","101,245"
LUNGA LUNGA,"168,807","82,445","86,358"
DZOMBO,"44,983","21,654","23,327"
MRIMA MALAMBA,"44,983","21,654","23,327"
KASEMENI,"11,201","5,614","5,587"
KASEMENI,"5,731","2,930","2,801"
PANGANI,"5,470","2,684","2,786"
KIKONENI,"24,611","12,178","12,433"
BUMBANI,"24,611","12,178","12,433"
LUNGA LUNGA,"19,485","9,668","9,817"
PERANI,"8,599","4,265","4,334"
SEGA,"10,886","5,403","5,483"
MWENA,"18,847","8,962","9,885"
MANDA,"7,765","3,751","4,014"
MWENA,"11,082","5,211","5,871"
MWERENI,"25,064","12,180","12,884"
BIDINIMOLE,"13,226","6,365","6,861"
KILIMANGODO,"11,838","5,815","6,023"
VANGA,"24,616","12,189","12,425"
JEGO,"8,332","4,083","4,248"
KIWEGU,"10,396","5,162","5,234"
VANGA,"5,888","2,944","2,943"
PONGWE KIKONENI,"29,616","14,729","14,887"
PONGWE KIDIMU,"21,176","10,396","10,780"
MAJORENI,"9,137","4,439","4,698"
MZIZIMA,"12,039","5,957","6,082"
SHIMONI,"8,440","4,333","4,107"
SHIMONI,"6,520","3,370","3,150"
WASINI/MKWIRO,"1,920",963,957
MATUGA,"194,252","95,831","98,419"
KUBO,"75,854","37,144","38,710"
LUKORE,"3,373","1,692","1,681"
LUKORE,"3,373","1,692","1,681"
MAJIMBONI,"9,907","5,115","4,792"
BOYANI,"1,849",939,910
KIPAMBANI,"1,108",586,522
MAJIMBONI,"1,966",987,979
MAKOBE,"1,238",652,586
MSULWA,"1,944",988,956
SHIMBA HILLS,"1,802",963,839
MANGAWANI,"7,971","3,901","4,070"
MANGAWANI,"7,971","3,901","4,070"
MKONGANI,"23,538","11,460","12,078"
MKOMBA,"6,914","3,311","3,603"
MTSAMVIANI,"7,982","3,978","4,004"
TIRIBE,"8,642","4,171","4,471"
MWALUPHAMBA,"26,742","12,729","14,013"
KIZIBE,"10,844","5,196","5,648"
MLAFYENI,"15,898","7,533","8,365"
MWALUVANGA,"4,323","2,247","2,076"
MANYATTA,"2,465","1,267","1,198"
MWALUVANGA,"1,858",980,878
MATUGA,"118,357","58,660","59,695"
GOLINI,"20,275","10,130","10,145"
GOLINI,"20,275","10,130","10,145"
MBUGUNI,"7,160","3,492","3,668"
MBUGUNI,"7,160","3,492","3,668"
NG'OMBENI,"22,866","11,512","11,353"
KITEJE,"4,229","2,187","2,042"
