,,,,,,,,,,,,,,,,,,,,,,,
Distribution of Population by Sex and Sub-County ,,,,,,,,,,,,,,,,,,,,,,,
Source: 2019 Kenya Population and Housing Census Volume I: Population by County and Sub-County,,,,,,,,,,,,,,,,,,,,,,,
https://www.knbs.or.ke/?wpdmpro=2019-kenya-population-and-housing-census-volume-i-population-by-county-and-sub-county,,,,,,,,,,,,,,,,,,,,,,,
"Population, Male, Female, Intersex, Sub-county, County, Kenya",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
name,Male,Female,Intersex,Total,,,,,,,,,,,,,,,,,,,
Kenya,23548056,24014716,1524,47564296,,,,,,,,,,,,,,,,,,,
Mombasa,610257,598046,30,1208333,,,,,,,,,,,,,,,,,,,
Changamwe ,68761,63121,,131882,,,,,,,,,,,,,,,,,,,
Jomvu ,83002,80410,3,163415,,,,,,,,,,,,,,,,,,,
Kisauni,146748,145176,6,291930,,,,,,,,,,,,,,,,,,,
Likoni ,126962,123392,4,250358,,,,,,,,,,,,,,,,,,,
Mvita ,75565,78601,5,154171,,,,,,,,,,,,,,,,,,,
Nyali ,109219,107346,12,216577,,,,,,,,,,,,,,,,,,,
Kwale  ,425121,441681,18,866820,,,,,,,,,,,,,,,,,,,
Kinango ,45413,48806,1,94220,,,,,,,,,,,,,,,,,,,
Lungalunga,97174,101245,4,198423,,,,,,,,,,,,,,,,,,,
Matuga      ,95831,98419,2,194252,,,,,,,,,,,,,,,,,,,
Ms am bweni    ,89206,88480,4,177690,,,,,,,,,,,,,,,,,,,
Samburu-Kwale     ,97497,104731,7,202235,,,,,,,,,,,,,,,,,,,
Kilifi       ,704089,749673,25,1453787,,,,,,,,,,,,,,,,,,,
Chonyi      ,29527,32807,1,62335,,,,,,,,,,,,,,,,,,,
Ganze    .    ,66921,76981,4,143906,,,,,,,,,,,,,,,,,,,
Kaloleni.     ,92614,101063,5,193682,,,,,,,,,,,,,,,,,,,
Kauma      ,10965,11673,,22638,,,,,,,,,,,,,,,,,,,
Kilifi North       ,86986,91836,2,178824,,,,,,,,,,,,,,,,,,,
Kilifi South    ,101852,104897,4,206753,,,,,,,,,,,,,,,,,,,
Magarini     ,93302,98308,,191610,,,,,,,,,,,,,,,,,,,
Malindi        ,163351,169866,9,333226,,,,,,,,,,,,,,,,,,,
Rabai        ,58571,62242,,120813,,,,,,,,,,,,,,,,,,,
Tana River      ,158550,157391,2,315943,,,,,,,,,,,,,,,,,,,
Tana North ,55716,54924,,110640,,,,,,,,,,,,,,,,,,,
Tana Delta       ,59123,57632,2,116757,,,,,,,,,,,,,,,,,,,
Tana River       ,43711,44835,,88546,,,,,,,,,,,,,,,,,,,
Lamu        ,76103,67813,4,143920,,,,,,,,,,,,,,,,,,,
Lamu East.    ,11675,10583,,22258,,,,,,,,,,,,,,,,,,,
Lamu West.      ,64428,57230,4,121662,,,,,,,,,,,,,,,,,,,
Taita/Taveta     ,173337,167327,7,340671,,,,,,,,,,,,,,,,,,,
Mwatate     ,41426,40231,2,81659,,,,,,,,,,,,,,,,,,,
Taita         ,28386,27573,,55959,,,,,,,,,,,,,,,,,,,
Taveta      ,47410,43812,,91222,,,,,,,,,,,,,,,,,,,
Voi       ,56115,55711,5,111831,,,,,,,,,,,,,,,,,,,
Garissa       ,458975,382344,34,841353,,,,,,,,,,,,,,,,,,,
Balambala,20277,11979,1,32257,,,,,,,,,,,,,,,,,,,
Dadaab.      ,99059,86185,8,185252,,,,,,,,,,,,,,,,,,,
Fafi        ,72617,61413,10,134040,,,,,,,,,,,,,,,,,,,
Garissa      ,83460,80449,5,163914,,,,,,,,,,,,,,,,,,,
Hulugho      ,78081,55898,5,133984,,,,,,,,,,,,,,,,,,,
Ijara .      ,80458,61129,4,141591,,,,,,,,,,,,,,,,,,,
Lagdera    ,25023,25291,1,50315,,,,,,,,,,,,,,,,,,,
Wajir        ,415374,365840,49,781263,,,,,,,,,,,,,,,,,,,
Buna        ,26796,23088,2,49886,,,,,,,,,,,,,,,,,,,
Eldas       ,44743,43759,7,88509,,,,,,,,,,,,,,,,,,,
Habaswein     ,94613,79505,16,174134,,,,,,,,,,,,,,,,,,,
Tarbaj       ,27141,30086,5,57232,,,,,,,,,,,,,,,,,,,
Wajir East      ,59359,51292,3,110654,,,,,,,,,,,,,,,,,,,
Wajir North     ,31990,30209,7,62206,,,,,,,,,,,,,,,,,,,
Wajir South     ,64947,51864,3,116814,,,,,,,,,,,,,,,,,,,
Wajir West     ,65785,56037,6,121828,,,,,,,,,,,,,,,,,,,
Mandera       ,434976,432444,37,867457,,,,,,,,,,,,,,,,,,,
Mandera Wes t     .,48166,50130,4,98300,,,,,,,,,,,,,,,,,,,
Banisa       ,78301,74288,9,152598,,,,,,,,,,,,,,,,,,,
Kutulo       ,35799,36593,2,72394,,,,,,,,,,,,,,,,,,,
Lafey       ,40476,42976,5,83457,,,,,,,,,,,,,,,,,,,
Mandera Central     ,71688,85527,5,157220,,,,,,,,,,,,,,,,,,,
Mandera Eas t    ,83538,76095,5,159638,,,,,,,,,,,,,,,,,,,
Mandera North     .,77008,66835,7,143850,,,,,,,,,,,,,,,,,,,
Marsabit       ,243548,216219,18,459785,,,,,,,,,,,,,,,,,,,
Loiyangalani    ,17659,18051,3,35713,,,,,,,,,,,,,,,,,,,
Mars abit Central     ,40956,38214,11,79181,,,,,,,,,,,,,,,,,,,
Mars abit North     .,30091,24205,1,54297,,,,,,,,,,,,,,,,,,,
Mars abit South     .,33215,32161,,65376,,,,,,,,,,,,,,,,,,,
Moyale       ,56440,52508,1,108949,,,,,,,,,,,,,,,,,,,
North Horr     ,41719,29726,2,71447,,,,,,,,,,,,,,,,,,,
Sololo       ,23468,21354,,44822,,,,,,,,,,,,,,,,,,,
Isiolo        ,139510,128483,9,268002,,,,,,,,,,,,,,,,,,,
Garbatulla     ,54661,45068,1,99730,,,,,,,,,,,,,,,,,,,
