"County/ Sub-County","Conventional Households","Type of Cooking Fuel (%) - Electricity","Type of Cooking Fuel (%) - Paraffin","Type of Cooking Fuel (%) - Gas(LPG) ","Type of Cooking Fuel (%) - Biogas","Type of Cooking Fuel (%) - Firewood","Type of Cooking Fuel (%) - Charcoal","Type of Cooking Fuel (%) - Solar","Type of Cooking Fuel (%) - Not Stated"
"KENYA",12043016,0.9,7.8,23.9,0.5,55.1,11.6,0.2,0
"Rural",7379282,0.4,1.6,5.6,0.3,84.1,7.7,0.2,0
"Urban",4663734,1.7,17.7,52.9,0.7,9.2,17.7,0,0
"MOMBASA",376295,1.4,32.1,37.6,1.1,4.7,23.2,0,0
"CHANGAMWE",46439,1.2,38.8,38.8,0.7,1.6,18.8,0,0
"JOMVU",53214,1,30.8,31.9,0.7,6.6,29,0.1,0
"KISAUNI",88159,1.2,31.6,37.7,1.2,8.9,19.4,0,0
"LIKONI",80002,1.4,37,20.8,1.3,4.5,35,0,0
"MVITA",38710,2.2,12.7,63.9,1.9,1.3,18,0,0.1
"NYALI",69771,1.5,34.3,45.5,0.9,2.2,15.5,0,0
"KWALE",172802,0.5,5,8.6,0.4,69.7,15.5,0.2,0
"KINANGO",16041,0.1,0.9,1.9,0.1,87.8,9.1,0.1,0
"LUNGALUNGA",37276,0.4,1.8,1.8,0.2,84.3,11,0.5,0
"MATUGA",39124,0.4,2.9,5.9,0.2,76.6,13.9,0.1,0
"MSAMBWENI",45374,1,12.4,22.3,1,42.5,20.8,0,0
"SAMBURU",34987,0.3,3.3,4.1,0.3,73.6,18.2,0.1,0.1
"KILIFI",297990,0.7,7.4,11.1,0.5,58.2,21.9,0.1,0
"CHONYI",11416,0.1,0.9,1,0.1,95.5,2.3,0,"-"
"GANZE",23197,0.3,0.5,1.1,0.1,91.1,6.8,0.1,0.1
"KALOLENI",36344,0.6,3.9,9.4,0.3,64.6,21,0.1,0
"KAUMA",3479,0.3,0.9,0.9,0.1,94.5,3.3,0.1,"-"
"KILIFI NORTH",39508,0.6,6.1,15.7,0.4,48.9,28.2,0.1,0
"KILIFI SOUTH",53011,1.4,20.9,20.5,0.7,38.6,17.9,0,0
"MAGARINI",32978,0.4,1.2,1.7,0.3,82.2,14.1,0.3,0
"MALINDI",73317,0.9,6.3,13.7,0.8,43,35.3,0.1,0
"RABAI",24740,0.5,7.8,7.1,0.4,65.5,18.6,0,0
"TANA RIVER",66984,0.9,0.9,2.4,0.3,63.5,31.5,0.5,0.1
