"County/Sub County","Total population male","Total Population Male","Total Population Female","Total*","Persons With Albinism Male","Persons With Albinism Female"
"KENYA",47213282,23315538,23896364,9729,4467,5261
"Rural",32615723,16121886,16493031,7470,3414,4055
"Urban",14597559,7193652,7403333,2259,1053,1206
"MOMBASA",1190987,598314,592656,209,102,107
"CHANGAMWE",130541,67825,62716,25,15,10
"JOMVU",162760,82608,80149,35,12,23
"KISAUNI",287131,143186,143942,59,30,29
"LIKONI",249230,126161,123065,37,20,17
"MVITA",147983,71229,76752,20,9,11
"NYALI",213342,107305,106032,33,16,17
"KWALE",858748,420556,438176,171,79,92
"KINANGO",93789,45099,48689,21,9,12
"LUNGA LUNGA",198195,97019,101173,40,15,25
"MATUGA",192999,95096,97901,32,18,14
"MSAMBWENI",173213,86899,86311,33,16,17
"SAMBURU",200552,96443,104102,45,21,24
"KILIFI",1440958,695879,745059,265,122,143
"CHONYI",62318,29517,32800,4,"-",4
"GANZE",143590,66741,76845,32,15,17
"KALOLENI",192905,92000,100900,31,13,18
"KAUMA",22613,10951,11662,8,6,2
"KILIFI NORTH",177527,86099,91426,55,25,30
"KILIFI SOUTH",203891,100019,103871,38,16,22
"MAGARINI",190644,92592,98052,38,20,18
"MALINDI",326991,159583,167401,44,20,24
"RABAI",120479,58377,62102,15,7,8
"TANA RIVER",314710,157511,157197,82,52,30
"TANA DELTA",110293,55426,54867,27,17,10
"TANA NORTH",116463,58863,57598,34,21,13
"TANA RIVER",87954,43222,44732,21,14,7
"LAMU",141909,74669,67237,17,8,9
"LAMU EAST",22212,11633,10579,4,1,3
"LAMU WEST",119697,63036,56658,13,7,6
"TAITA/TAVETA",335747,169778,165963,79,36,43
"MWATATE",81389,41280,40107,23,9,14
"TAITA",55643,28163,27480,23,9,14
"TAVETA",89319,45797,43522,5,2,3
"VOI",109396,54538,54854,28,16,12
"GARISSA",835482,454437,381012,514,259,255
"BALAMBALA",31819,19894,11924,1,1,"-"
"DADAAB",183410,97713,85690,43,26,17
"FAFI",133286,72043,61233,20,9,11
"GARISSA",161951,81846,80100,35,12,23
"HULUGHO",133746,77885,55856,179,95,84
"IJARA",141418,80351,61063,224,110,114
"LAGDERA",49852,24705,25146,12,6,6
"WAJIR",775302,411369,363886,122,66,56
"BUNA",48117,25758,22357,4,1,3
"ELDAS",88905,44884,44014,40,22,18
"HABASWEIN",173446,94211,79220,30,19,11
"TARBAJ",56388,26711,29672,9,6,3
"WAJIR EAST",109316,58252,51062,7,5,2
"WAJIR NORTH",61867,31758,30102,6,2,4
"WAJIR SOUTH",116225,64536,51686,10,4,6
"WAJIR WEST",121038,65259,55773,16,7,9
"MANDERA",862079,431285,430758,162,89,73
"MANDERA WEST",97983,47937,50042,10,5,5
"BANISA",152043,78052,73983,55,37,18
"KOTULO",71602,35279,36321,23,12,11
"LAFEY",83001,40159,42837,32,12,20
"MANDERA CENTRAL",156623,71225,85393,16,10,6
"MANDERA EAST",158586,82668,75913,11,4,7
"MANDERA NORTH",142241,75965,66269,15,9,6
"MARSABIT",447150,234237,212896,29,13,16
"LOIYANGALANI",35274,17279,17993,5,1,4
"MARSABIT CENTRAL",78167,40141,38015,3,2,1
"MARSABIT NORTH",49056,26579,22476,5,3,2
"MARSABIT SOUTH",64937,32884,32053,3,1,2
"MOYALE",108223,55892,52330,6,3,3
"NORTH HORR",67154,38247,28905,4,3,1
"SOLOLO",44339,23215,21124,3,"-",3
"ISIOLO",267997,139510,128483,20,11,9
"GARBATULLA",99730,54661,45068,9,6,3
"ISIOLO",121061,60414,60647,9,5,4
"MERTI",47206,24435,22768,2,"-",2
"MERU",1535635,760915,774683,563,260,303
"BUURI EAST",75943,37814,38129,32,18,14
"BUURI WEST",80419,40265,40152,25,13,12
"IGEMBE CENTRAL",219887,109825,110058,63,34,29
"IGEMBE NORTH",168903,83050,85849,39,16,23
"IGEMBE SOUTH",160851,79684,81159,100,47,53
"IMENTI NORTH",173876,86052,87820,46,17,29
"IMENTI SOUTH",205487,102569,102913,75,40,35
"MERU CENTRAL",133165,66558,66604,53,23,30
"TIGANIA CENTRAL",104558,51674,52884,35,14,21
"TIGANIA EAST",72471,35326,37142,38,15,23
"TIGANIA WEST",139312,67473,71835,57,23,34
"MERU NATIONAL PARK",317,232,85,"-","-","-"
"MT. KENYA FOREST",446,393,53,"-","-","-"
"THARAKA-NITHI",391303,192586,198710,119,45,74
"IGAMBANG'OMBE",52802,26106,26695,23,9,14
"MAARA",114734,57577,57157,40,13,27
"MERU SOUTH",90520,44678,45840,21,6,15
"THARAKA NORTH",58252,28239,30011,17,9,8
"THARAKA SOUTH",74824,35906,38916,18,8,10
"MT. KENYA FOREST",171,80,91,"-","-","-"
"EMBU",604769,301491,303254,215,97,118
"EMBU EAST",129097,64350,64745,49,22,27
"EMBU NORTH",79465,39611,39851,25,9,16
"EMBU WEST",124616,61248,63359,30,18,12
"MBEERE SOUTH",162918,82850,80062,87,35,52
"MBEERE NORTH",108651,53413,55234,24,13,11
"MT. KENYA FOREST",22,19,3,"-","-","-"
"KITUI",1130134,545080,585022,296,124,172
"IKUTHA",82463,39713,42748,22,9,13
"KATULANI",46913,23053,23859,9,4,5
"KISASI",46003,22565,23438,13,6,7
"KITUI CENTRAL",104128,50809,53314,32,17,15
"KITUI WEST",70635,33773,36861,31,14,17
"KYUSO",76452,36580,39871,27,12,15
"LOWER YATTA",62938,31413,31525,14,6,8
"MATINYANI",47802,23356,24445,16,5,11
"MIGWANI",79066,37472,41590,15,6,9
"MUMONI",29321,13728,15593,17,9,8
"MUTITU",55136,26277,28856,8,4,4
"MUTITU NORTH",21128,10277,10850,10,1,9
"MUTOMO",112703,54370,58328,20,6,14
"MWINGI CENTRAL",107973,51964,56009,23,12,11
"MWINGI EAST",84973,40220,44748,15,8,7
"NZAMBANI",46710,22889,23819,11,3,8
"THAGICU",15096,7123,7972,2,1,1
"TSEIKURU",40694,19498,21196,11,1,10
"MACHAKOS",1414022,705673,708318,287,129,158
"ATHI RIVER",319526,162520,157003,31,19,12
"KALAMA",54408,26723,27679,8,4,4
"KANGUNDO",97700,48577,49122,33,13,20
"KATHIANI",111757,54859,56894,26,10,16
"MACHAKOS",168255,83888,84361,39,17,22
"MASINGA",148181,73296,74883,39,18,21
"MATUNGULU",161080,80881,80195,33,12,21
"MWALA",181671,90287,91381,46,22,24
"YATTA",171444,84642,86800,32,14,18
"MAKUENI",977015,481967,495030,296,132,164
"KATHONZWENI",79281,39022,40256,50,23,27
"KIBWEZI",194004,96138,97862,67,28,39
"KILUNGU",60869,28969,31899,15,7,8
"MAKINDU",83391,40934,42457,25,11,14
"MAKUENI",128880,64270,64608,28,12,16
"MBOONI EAST",97523,47982,49538,39,17,22
"MBOONI WEST",102292,49273,53018,17,7,10
"MUKAA",106239,53594,52645,25,16,9
"NZAUI",124536,61785,62747,30,11,19
"NYANDARUA",636002,313718,322266,75,36,39
"KINANGOP",111119,54541,56574,6,2,4
"NYANDARUA SOUTH",93228,45828,47396,11,4,7
"MIRANGINE",67121,33388,33732,5,2,3
"KIPIPIRI",93698,46029,47667,19,11,8
"NYANDARUA CENTRAL",74835,37136,37698,7,2,5
