County / Sub-County,Population 3 Years and above – Total,Population 3 Years and above – Male,Population 3 Years and above – Female,Use of Internet – Total,Use of Internet – Total percent,Use of Internet – Male ,Use of Internet – per cent of male,Use of Internet – Female,Use of Internet – per cent of female,Use of Desktop Computer/Laptop/Tablet – Total,Use of Desktop Computer/Laptop/Tablet – percent total,Use of Desktop Computer/Laptop/Tablet – Male,Use of Desktop Computer/Laptop/Tablet – Male percent,Use of Desktop Computer/Laptop/Tablet – Female,Use of Desktop Computer/Laptop/Tablet – Female per cent
KENYA,43739906,21574077,22164531,9869962,22.6,5408981,25.1,4460639,20.1,4527254,10.4,2529413,11.7,1997664,9
Rural*,30253081,14939183,"  15,313,1",4139595,13.7,2404991,16.1,1734502,11.3,1614287,5.3,937948,6.3,676295,4.4
Urban*,13486825,6634894,6851386,5730367,42.5,3003990,45.3,2726137,39.8,2912967,21.6,1591465,24,1321369,19.3
MOMBASA,1100173,552476,547681,431327,39.2,232526,42.1,198792,36.3,184713,16.8,104805,19,79904,14.6
CHANGAMWE,121334,63184,58150,48368,39.9,27252,43.1,21116,36.3,18986,15.6,11455,18.1,7531,13
JOMVU,149699,75931,73765,48246,32.2,27583,36.3,20662,28,19386,12.9,11739,15.5,7646,10.4
KISAUNI,263742,131351,132388,93781,35.6,50503,38.4,43275,32.7,40374,15.3,22737,17.3,17636,13.3
LIKONI,228472,115784,112685,75298,33,43018,37.2,32279,28.6,27252,11.9,16461,14.2,10791,9.6
MVITA,138927,66589,72336,76664,55.2,37260,56,39404,54.5,35671,25.7,18957,28.5,16714,23.1
NYALI,197999,99637,98357,88970,44.9,46910,47.1,42056,42.8,43044,21.7,23456,23.5,19586,19.9
KWALE,783189,382538,400636,97240,12.4,57487,15,39749,9.9,35746,4.6,21196,5.5,14547,3.6
KINANGO,84534,40445,44088,5279,6.2,3195,7.9,2084,4.7,2240,2.6,1372,3.4,868,2
LUNGALUNGA,180056,87893,92161,12948,7.2,8218,9.4,4730,5.1,4324,2.4,2715,3.1,1609,1.7
MATUGA,177675,87377,90296,23507,13.2,13660,15.6,9847,10.9,7769,4.4,4609,5.3,3160,3.5
MSAMBWENI,159936,80181,79752,40774,25.5,23161,28.9,17610,22.1,16176,10.1,9245,11.5,6928,8.7
SAMBURU,180988,86642,94339,14732,8.1,9253,10.7,5478,5.8,5237,2.9,3255,3.8,1982,2.1
KILIFI,1323664,636891,686754,200190,15.1,118420,18.6,81770,11.9,87064,6.6,50667,8,36397,5.3
CHONYI,57246,26917,30328,3965,6.9,2642,9.8,1323,4.4,1419,2.5,916,3.4,503,1.7
GANZE,131101,60552,70546,8884,6.8,5497,9.1,3387,4.8,4319,3.3,2597,4.3,1722,2.4
KALOLENI,176734,83996,92733,20300,11.5,12198,14.5,8102,8.7,9086,5.1,5455,6.5,3631,3.9
KAUMA,20821,10054,10767,1289,6.2,846,8.4,443,4.1,462,2.2,293,2.9,169,1.6
KILIFI NORTH,162990,78763,84225,32694,20.1,19053,24.2,13641,16.2,16090,9.9,9274,11.8,6816,8.1
KILIFI SOUTH,187663,91863,95799,41751,22.2,23511,25.6,18240,19,17051,9.1,9659,10.5,7392,7.7
MAGARINI,174553,84429,90124,14916,8.5,9722,11.5,5194,5.8,6580,3.8,4032,4.8,2548,2.8
MALINDI,301205,146545,154653,62682,20.8,36360,24.8,26322,17,26991,9,15364,10.5,11627,7.5
RABAI,111351,53772,57579,13709,12.3,8591,16,5118,8.9,5066,4.5,3077,5.7,1989,3.5
TANA RIVER,284605,142087,142516,25256,8.9,16523,11.6,8733,6.1,8985,3.2,5689,4,3296,2.3
