"County/ Sub-County","Conventional Households","Pond(%)","Dam/Lake(%)","Stream/River","Protected Spring","Unprotected Spring","Protected Well","Unprotected  Well","Borehole/ Tube well","piped into  dwelling","Piped to yard/ Plot","Bottled water","Rain/ Harvested water","Water Vendor","Public tap/ Standpipe","Not Stated"
"KENYA",12043016,1.6,3.3,16.8,7.1,2.4,7,2.6,9.9,10.1,14.1,2.8,3.9,8.5,9.9,0
"Rural",7379282,2.4,4.9,25.8,10.5,3.7,9,4,11.8,5.1,7.8,0.3,5,3.3,6.4,0
"Urban",4663734,0.2,0.8,2.6,1.8,0.3,4,0.5,6.8,18.1,23.9,6.7,2,16.7,15.6,0
"MOMBASA",376295,0.1,0.2,0.1,1.2,0.1,4.6,0.4,5.2,7.2,5.2,11.4,0.3,43.5,20.5,0
"CHANGAMWE",46439,0,0,0.1,0.8,0.1,1.2,0.1,1.2,4,4.2,5.2,0.1,59.9,23.3,0
"JOMVU",53214,0.1,0.1,0.1,0.8,0.2,1.5,0.4,1.1,5.2,4.3,4.7,0.2,53.4,27.8,0
"KISAUNI",88159,0.2,0.3,0.2,2.2,0.1,4,0.8,8.2,11.8,9.2,10.5,0.3,21.6,30.7,0
"LIKONI",80002,0.1,0.3,0.2,0.7,0.4,11.6,0.5,6.7,4.1,2.4,4.9,0.5,60.7,7,0
"MVITA",38710,0,0,0,0.7,0,2.6,0.1,5,9.6,3.3,32.1,0.1,36.6,9.9,0.1
"NYALI",69771,0,0.1,0.1,1.6,0.1,3,0.1,5.7,7.4,5.9,17.8,0.1,36.7,21.5,0
"KWALE",172802,17.2,10.4,3.2,1.3,1.7,10.3,8.3,12.7,4.3,5.5,2.1,1.7,2.9,18.3,0
"KINANGO",16041,55.1,20.9,0.9,0.2,0.4,0,1,0.2,2.8,4.2,0.1,0.7,1.1,12.3,0
"LUNGALUNGA",37276,17.1,24.7,5.1,0.4,1.7,10.9,19.7,11.7,0.3,0.3,0.7,3.9,1.6,1.9,0
"MATUGA",39124,20.2,1.4,5.6,1.3,3.5,11.5,8.3,13.1,5.9,6.3,0.6,2.4,2.3,17.6,0
"MSAMBWENI",45374,0.7,0.5,0.6,1.5,1.5,20.1,7.3,27.4,6.2,4.5,6.7,0.5,4.3,18.1,0
"SAMBURU",34987,18,13.4,2.8,2.6,0.4,0.1,0.8,0,4.8,12.3,0.2,0.8,3.7,39.7,0.1
"KILIFI",297990,6,6.8,2.6,0.8,0.6,4.4,3.5,4,10.2,13.2,2,0.4,9.6,36,0
"CHONYI",11416,6,2.2,2.3,1.8,1.7,0.3,6.5,0.1,2.6,11.8,0,0.2,7.9,56.5,"-"
"GANZE",23197,24.7,19.4,1.4,0.6,0.9,0.1,1.7,0.3,3.5,9.4,0.3,0.8,2.1,34.7,0.1
"KALOLENI",36344,20.2,26.1,2.2,0.9,1.3,1.8,5.1,0.8,7.9,8.2,0.3,0.6,6.3,18.3,0
"KAUMA",3479,1.7,4.1,3,0.6,0.1,0.5,1.1,0.3,3.2,10.7,0.1,0.1,0.2,74.2,"-"
"KILIFI NORTH",39508,0.1,0,0.2,0.5,0.1,3,1.3,4.6,13.4,18.8,2.4,0.5,9.9,45,0
"KILIFI SOUTH",53011,1.6,0.5,0.4,0.6,0.3,14.4,2.1,9.5,6.7,9.3,6.8,0.4,12.6,34.9,0
"MAGARINI",32978,7.9,10.9,8.3,0.9,0.2,7.5,14.2,5.7,1.1,2,0.2,0.7,17.3,23.1,0
"MALINDI",73317,0.1,0.4,3.8,0.6,0.1,0.9,0.2,3.8,20.2,20.3,1.4,0.2,7.7,40.3,0
"RABAI",24740,2.1,7.4,2.4,1.1,1.9,1.7,3.3,0.5,9.1,18.2,0.2,0.3,11.6,40.3,0
"TANA RIVER",66984,2.6,9.8,19.5,1.1,0.5,9.8,7.5,22.1,2.9,7.8,0.4,0.1,5.1,10.8,0.1
"TANA DELTA",22395,1.4,3.5,17.4,1.2,0.3,14.8,6.9,30.8,3,5,0.3,0.2,3.8,11.4,0
