County/ Sub-County,Conventional Households,Mode of Human Waste Disposal (%) Main Sewer, Septic tank,Pool Cess,VIP Latrine,Pit latrine covered,Pit latrine uncovered,Bucket,Open/Bush,Bio-septic tank/Biodigester,Not Stated
KENYA,12043016,9.7,9.2,0.3,11.9,51.2,9.4,0.8,7.4,0.2,0
Rural,7379282,0.3,1.7,0.1,11.5,61.7,12.5,0.5,11.5,0.1,0
Urban,4663734,24.6,21.1,0.6,12.5,34.4,4.4,1.2,0.8,0.3,0
MOMBASA,376295,16.6,31.2,1.1,11.1,30.8,5.5,2.4,0.9,0.3,0
CHANGAMWE,46439,27.3,25.9,1.4,10.2,28.1,4.3,2.6,0.2,0.1,0
JOMVU,53214,16.6,28.6,0.6,9.9,33.6,6.6,2.1,1.8,0.2,0
KISAUNI,88159,9.8,42.4,0.8,8.9,27,6.1,2.5,1.8,0.7,0
LIKONI,80002,6.7,20.7,1.8,18,42,5.9,3.9,0.8,0.2,0
MVITA,38710,50,29,0.8,2.7,13.1,3.3,0.5,0.2,0.4,0.1
NYALI,69771,10.8,36,1.2,12.3,32.1,5.6,1.5,0.2,0.3,0
KWALE,172802,0.9,8.8,0.5,8.7,38.2,9.8,1.2,31.7,0.1,0
KINANGO,16041,0.3,2.3,0,5.3,27.5,10,0.7,53.8,0,0
LUNGALUNGA,37276,0.5,3,0.2,6.5,37.8,10.8,1,40,0.1,0
MATUGA,39124,0.8,7,0.4,10,50.2,12.2,0.7,18.6,0.1,0
MSAMBWENI,45374,1.9,17.4,1.2,9.2,42.6,9.5,2.3,15.6,0.2,0
SAMBURU,34987,0.6,8.7,0.5,10.4,24.3,6.6,0.6,48.2,0.1,0.1
KILIFI,297990,2.4,18.7,0.6,10.1,40.1,9.2,1.8,17,0.1,0
CHONYI,11416,0.1,0.9,0.1,9.2,74.3,8.8,0.4,6.1,0,-
GANZE,23197,0.1,2.6,0.2,3.7,36.8,11.1,0.9,44.5,0.1,0.1
KALOLENI,36344,2.4,13.6,0.4,4.1,53.6,12,1.7,12.2,0.1,0
KAUMA,3479,0.1,1.1,0,1.8,39.1,14.9,0.8,42.2,0.1,-
KILIFI NORTH,39508,2.3,23.2,0.3,11.9,41.6,8.9,1.9,9.8,0.1,0
KILIFI SOUTH,53011,2.4,20.9,0.8,11.2,46.8,10.5,2.7,4.5,0.3,0
MAGARINI,32978,0.9,6.3,0.8,11.2,27.9,8.5,0.8,43.6,0.1,0
MALINDI,73317,4.4,34,0.8,13,23.6,6.3,1.9,15.7,0.2,0
RABAI,24740,1.9,11.5,0.2,11.7,55.9,10,2.9,5.8,0,0
TANA RIVER,66984,0.8,4,0.5,4.6,31.7,9,0.6,48.6,0.2,0.1
TANA DELTA,22395,0.2,1.8,0.1,3.2,27.4,5.4,0.6,61.1,0.1,0
TANA NORTH,26119,1.2,4.7,0.9,6.2,32.1,14.2,0.7,39.5,0.3,0
TANA RIVER,18470,1,5.8,0.2,3.9,36.5,5.7,0.5,46.2,0,0.1
LAMU,34231,2.1,9.4,0.7,11.5,42.8,14,1.4,17.9,0.1,0
LAMU EAST,4476,0.8,2.9,0.2,14.3,61.5,12.6,3,4.7,0,-
LAMU WEST,29755,2.3,10.3,0.8,11.1,40,14.2,1.2,19.9,0.1,0
TAITA/TAVETA,94468,1.1,11.2,0.2,13.8,58.7,12.1,0.3,2.4,0.1,0
MWATATE,23184,0.3,4.3,0.1,17.4,63.7,11.6,0.3,2,0.2,0
TAITA,14985,0.4,4.6,0.2,18.8,65.5,8.6,0.3,1.5,0,0
TAVETA,23417,2.1,5.5,0.2,12.2,54.3,21.5,0.2,4.1,0,0
VOI,32882,1.3,23.2,0.3,10.1,55.2,7.5,0.4,1.8,0,0
GARISSA,138940,5.2,4.9,0.7,3.6,29.7,16.7,2.9,36.2,0.2,0
BALAMBALA,3986,4.2,2.7,1.5,3.7,20.9,11.2,1.3,54.4,0.1,-
DADAAB,35169,2.7,2.1,1.5,3.5,42.6,23.3,4.4,19.8,0.2,0
FAFI,23351,7.1,5.9,0.7,2.8,27,17.1,3.7,35.3,0.3,0
GARISSA,29790,11.8,13.7,0.3,6.1,40.8,12.4,2.9,11.7,0.2,0.1
HULUGHO,20078,0.8,0.2,0.1,1.3,4,8.6,1.1,83.8,0,0
IJARA,18296,3.7,2.1,0.4,3.9,25.4,15.8,2.1,46.4,0.2,0
LAGDERA,8270,0.4,1.9,0.1,2.2,18.7,26.7,1,48.8,0.2,-
WAJIR,126878,1.7,3.9,0.3,2.1,21.6,16,10.5,43.6,0.2,0
BUNA,6480,0.9,1.5,0.1,1.4,20.4,12.5,3.4,59.7,0.2,-
ELDAS,13862,2.2,5.1,0.8,1.2,14,11.1,8.7,56.4,0.4,-
HABASWEIN,31113,1.1,2.6,0.2,4.1,33.5,30.8,2.6,25.1,0,0
TARBAJ,9241,1.4,2.6,0.4,0.8,11.9,11,5.7,66.1,0.1,-
WAJIR EAST,18282,5.8,11.6,0.3,1.8,13.5,4.4,46.3,15.8,0.4,0
WAJIR NORTH,10478,0.5,2.4,0.3,2.3,31.9,18.8,3.2,40.7,0,-
WAJIR SOUTH,21149,0.8,1.6,0.2,0.7,17.9,12.1,3.6,63.1,0.1,0
WAJIR WEST,16273,0.5,2.1,0.5,2.2,18.7,12.7,5.9,57.1,0.2,-
