County/ Sub-County,Conventional Households,"Main Collected by
County
Government","Collected by
Community
Association
(CBOs Youth
Groups Faith
based
organizations)","Collected by
private company ","Dumped in the
compound","Dumped in
the street/
Vacant plot/
Drain/
Waterways","Dumped in
the Latrine","Burnt in
open",Buried,Composit pit,Burnt in pit,Not stated
KENYA,12043016,6.3,6.9,8.8,8.4,2.4,3.6,27.1,3.2,18.4,14.9,0
Rural,7379282,0.7,0.1,0.7,11.7,1.1,4.3,33.7,4.8,25.1,17.9,0
Urban,4663734,15.3,17.5,21.8,3.2,4.4,2.5,16.5,0.8,7.8,10.1,0
MOMBASA,376295,5.6,36.7,19.5,3.9,5.2,2.6,16.1,0.6,4.9,4.9,0
CHANGAMWE,46439,6.8,50.4,14.6,3.2,6.6,2.2,9.5,0.5,3.2,3.1,0
JOMVU,53214,2.5,27.8,8.4,5.1,6.6,1.3,27.7,0.8,10.4,9.3,0
KISAUNI,88159,4,28.7,17.3,4.9,5.5,2.7,23.6,0.7,4.7,8,0
LIKONI,80002,6.3,47.3,8,3.6,2.9,3.8,17.8,0.8,5.2,4.4,0
MVITA,38710,13.7,30.4,37.6,3,6.8,1.8,3.4,0.2,1.6,1.4,0.1
NYALI,69771,4.1,36,36.8,3.2,4.4,3,7.1,0.5,3.4,1.5,0
KWALE,172802,5.2,1.1,1.2,20.9,2,4.4,33.2,2.7,12.4,16.7,0
KINANGO,16041,0.2,0,0.1,36.3,2.2,3.1,29.7,1.9,15.8,10.6,0
LUNGALUNGA,37276,0.9,0.1,0.4,22.7,2.4,8.2,33.1,5.1,14,13.2,0
MATUGA,39124,2,0.3,0.1,22.1,0.9,3.6,32.5,1.6,14,23.1,0
MSAMBWENI,45374,16.8,3.9,3.6,9.9,1.8,2,37,1.3,9.6,14.1,0
SAMBURU,34987,0.6,0.2,0.7,24.8,3,5.3,31,3.7,11,19.6,0.1
KILIFI,297990,6.2,2.8,3.9,11.5,1.9,4.7,34.8,2.7,12,19.4,0
CHONYI,11416,0,-,0,22.2,1.3,6.3,35.4,1.4,17.7,15.7,-
GANZE,23197,0.3,0,0,21.8,0.6,4.5,33.2,3.8,13.1,22.5,0.1
KALOLENI,36344,3.2,0.4,0.8,12.9,1.5,6.8,37.5,4,13.5,19.4,0
KAUMA,3479,0.1,0,0.2,13.3,2.1,7,41,3.7,14.2,18.5,-
KILIFI NORTH,39508,12.7,2.7,2.2,9.6,1.4,3.8,35.3,1.7,10.4,20.4,0
KILIFI SOUTH,53011,7.3,7.3,12.7,6.5,1.8,2.6,36.2,1,9,15.7,0
MAGARINI,32978,1.1,0.1,0.2,17.5,1.6,4.7,37,5.3,16,16.5,0
MALINDI,73317,9.4,4.6,4.7,8.4,3.2,4.8,34.7,2.7,9.7,17.8,0
RABAI,24740,4.5,0.2,0.9,9.8,1.9,6.7,24.5,1.8,15.8,33.8,0
TANA RIVER,66984,0.7,0.5,0.6,10.5,2.6,4.6,49.4,9.8,7.5,13.6,0.1
TANA DELTA,22395,0.1,0.1,0.1,12.2,3,2.8,51.9,9.2,9.4,11.3,0
TANA NORTH,26119,1.5,0.6,1,10.1,2.1,7.2,46.8,13.8,4.9,11.9,0
TANA RIVER,18470,0.5,0.8,0.7,9.2,2.8,2.9,50.2,4.9,8.8,19,0.1
LAMU,34231,3.8,2,1.3,16,6.4,4.5,38.9,3.3,9.7,14,0
LAMU EAST,4476,8.5,1,0.1,16.1,14.1,8.6,32.8,1,9.7,8.2,-
LAMU WEST,29755,3.1,2.2,1.5,16,5.3,3.9,39.8,3.7,9.7,14.8,0
TAITA/TAVETA,94468,5.9,0.6,0.9,9.6,1,3.7,26.1,1.4,13,37.7,0
MWATATE,23184,1,0,0.5,13,0.3,3.1,16.1,1.2,19.2,45.5,0
TAITA,14985,2.2,0,0.3,17.6,0.2,1.8,18.8,2.5,24.9,31.6,0
TAVETA,23417,5.1,0.4,1,6.3,0.7,5.9,33.8,1.8,6.4,38.6,0
VOI,32882,11.7,1.5,1.3,5.9,2.3,3.4,31,0.7,7.8,34.4,0
GARISSA,138940,6.1,1,3.5,8.1,1.6,10,45.6,11.4,5.3,7.3,0
BALAMBALA,3986,2.4,0.8,2.4,8.6,0.7,5,44.9,22.3,5.6,7.4,-
DADAAB,35169,2.9,0.6,3.1,8,1.2,15.2,43,15.6,3.8,6.6,0
FAFI,23351,3.9,2,2.3,7.9,2.7,7.1,44.7,13.3,5.6,10.4,0
GARISSA,29790,18.3,1.6,9.7,7.8,1.5,13.6,30.8,4.4,4.7,7.6,0.1
HULUGHO,20078,1.8,0.1,0.2,5.8,0.3,2.7,66.4,9.1,8.5,5.1,0
IJARA,18296,2.7,0.9,1,11.1,2.4,7.9,48.6,11.7,6.3,7.1,0
LAGDERA,8270,1.4,0.9,0.2,9.2,2.1,7.6,56.3,13.7,3.2,5.4,-
WAJIR,126878,5.7,0.5,1.6,5.3,1.3,8.4,43.5,24,3.4,6.2,0
BUNA,6480,1.6,0,0.2,9.9,2.2,6.3,45.4,23.1,6.7,4.6,-
ELDAS,13862,3.7,0.3,2.3,3.4,1.2,11,33.8,37.3,4.1,2.9,-
HABASWEIN,31113,2.7,0.7,0.6,8.2,1.2,10.7,53,11.5,3.3,8,0
TARBAJ,9241,1.1,0.1,0.2,1.3,1.3,7.3,43,36.6,3.6,5.5,-
WAJIR EAST,18282,23,0.7,7.4,5.1,1.7,6.9,22.2,26.3,1.6,5.1,0
WAJIR NORTH,10478,4.7,0.3,0.3,6.9,2.8,8.8,52.1,11.2,4.5,8.3,-
WAJIR SOUTH,21149,1.3,0.9,0.3,3.5,0.1,7.3,51.3,24.6,2.6,8.2,0
WAJIR WEST,16273,3.9,0.1,0.6,3.6,1.8,6.3,41.1,34.9,3.7,4,-
MANDERA,123954,9.1,0.3,0.4,5.5,1.5,7.5,58.1,8.7,2.9,5.9,0
MANDERA WEST,14201,2.2,0.4,0.4,6.3,0.6,6.3,66.3,8.2,4.1,5.2,0
BANISA,24000,3.3,0.4,0.5,5.7,1.8,6.6,61,12.4,3.3,5,0
KOTULO,9342,14.9,0.1,0.1,9.1,1.4,7.1,57.4,5.8,2.2,2,-
LAFEY,11380,5,0.1,0.7,4.5,0.6,6.1,67,8.7,3.6,3.8,-
MANDERA CENTRAL,20795,4,0.2,0.4,5,1.5,12.7,63.4,8.6,1.4,2.7,0.1
MANDERA EAST,25206,27.9,0.6,0.7,3.3,1.5,7.5,38.5,6.3,3.2,10.6,-
MANDERA NORTH,19030,2.2,0,0.1,7.3,2.7,5.1,63.2,8.9,2.5,8,-
MARSABIT,76689,5.2,0,0.4,10.4,1.8,5,46.3,7.8,3.9,19,0.1
LOIYANGALANI,7646,0,-,0,14.1,1.6,3.1,53.1,14,2.6,11.4,-
MARSABIT CENTRAL,15658,11.6,0.2,1.9,5.3,0.8,5.5,33.9,1.9,4,35.1,0
MARSABIT NORTH,7468,0.1,-,0.1,15.2,5.9,4.3,57.7,1.8,1,13.8,-
