County/ Sub-County,Conventional Households,Main Electricity,Pressure,Paraffun Lantern,Paraffin Tin,Gas Lamp,Wood,Torch/Spotlight solar charged,Torch/spot-light Dry cells,Battery Charged,Candle,Battery(Car/Charged),Generator(Diesel/Petrol),Biogas,Not Stated
KENYA,12043016,50.4,0.3,6.6,9.6,0.2,2.8,19.3,5.2,3.8,1.3,0.4,0.1,0,0
Rural,7379282,26.3,0.4,9.4,13.9,0.2,4.3,29.9,8.1,5.8,1,0.6,0.1,0,0
Urban,4663734,88.4,0.2,2.2,2.8,0.1,0.3,2.4,0.7,0.7,1.8,0.1,0,0,0
MOMBASA,376295,85.9,0.5,2.7,6.3,0.1,0,1.5,0.4,0.3,2.2,0.1,0,0,0
CHANGAMWE,46439,87.7,0.4,3.1,3.6,0,0,0.9,0.6,0.4,3.2,0.1,0,0,0
JOMVU,53214,81,0.4,3.7,9.5,0.1,0.1,2.1,0.6,0.3,2.1,0.1,-,0,0
KISAUNI,88159,82.8,0.4,2.9,7.9,0.1,0.1,3.1,0.4,0.2,1.9,0.1,0,0,0
LIKONI,80002,87.2,0.7,2.4,6.4,0.1,0,1,0.3,0.2,1.7,0.1,-,0,0
MVITA,38710,91.1,0.2,1.1,3.8,0.1,0,0.5,0.3,0.4,2.5,0.1,-,-,0.1
NYALI,69771,87.9,0.4,2.8,4.8,0.1,0,0.8,0.5,0.3,2.3,0.1,0,-,0
KWALE,172802,31.5,0.5,6,29.5,0.2,1.7,22.8,2.7,3.9,0.9,0.2,0,0,0
KINANGO,16041,8.5,0.6,5,28.1,0.1,3.2,36.4,6.2,11.1,0.5,0.1,-,-,0
LUNGALUNGA,37276,14.9,0.6,5.9,35.6,0.1,3.8,28,2.9,7.2,0.7,0.2,0,0,0
MATUGA,39124,31.2,0.5,7.9,32.6,0.1,0.4,22.9,2.5,1.1,0.8,0.2,0,-,0
MSAMBWENI,45374,61.8,0.5,3.8,20.1,0.2,0.1,10.2,0.8,0.7,1.4,0.2,0.1,-,0
SAMBURU,34987,20.9,0.5,7.2,32.4,0.2,2.1,27.4,3.4,4.5,0.8,0.4,0,-,0.1
KILIFI,297990,38.5,0.6,6.1,26.7,0.1,1.3,20,2.4,2.9,1.2,0.2,0,0,0
CHONYI,11416,14.2,1.6,7.1,56.5,0.1,0.3,18.9,1.1,0.1,0,0.1,-,-,-
GANZE,23197,5.5,0.4,3.4,24.7,0.1,6,38.5,5.4,15.3,0.5,0.3,0,0,0.1
KALOLENI,36344,31.8,0.5,6.9,32.9,0.1,1.4,21,1.9,2.5,0.7,0.2,0,0,0
KAUMA,3479,6.6,0.1,4.1,45.8,0.3,2.5,33.8,4.1,2.4,0.1,0.1,-,-,-
KILIFI NORTH,39508,45,0.4,6.3,22,0.1,0.1,20.7,2.2,1.4,1.4,0.4,0,-,0
KILIFI SOUTH,53011,59.9,0.7,5.5,22,0.1,0.2,8.7,1.1,0.3,1.3,0.2,0,0,0
MAGARINI,32978,13.9,0.5,7.8,31.7,0.1,3.1,32.2,4.9,4.7,1.1,0.2,0,0,0
MALINDI,73317,50.4,0.6,5.9,18.4,0.2,1,17.1,2.3,2.2,1.7,0.1,0.1,0,0
RABAI,24740,35.8,0.8,7.1,38.3,0.1,0.1,14.7,1.3,0.2,1.2,0.3,-,0,0
TANA RIVER,66984,25.6,0.2,2.4,7.1,0.5,6.8,20.9,12.1,21.7,2.3,0.3,0.1,0,0.1
TANA DELTA,22395,17,0.2,2.7,10.1,0.4,5.6,35.7,15.4,10.8,1.8,0.2,0,0,0
TANA NORTH,26119,29.3,0.2,1.7,2.2,0.6,7,11.9,10.7,32.7,3.2,0.3,0.2,-,0
