County,Population Age 3years and Above,Population Age 3Ownership,Use of Internet,Use of Desktop Computer/Tablet/ Laptop,Bought goods and services online 
Kenya,43739906,20694315,9869962,4527254,1249133
3 - 4,2504716,47777,52834,47351,-
5 - 9,6188874,142367,168905,207517,-
10 - 14,6317113,255660,251345,258977,-
15 - 24,9649075,4698732,3086312,1453866,320772
25 - 34,7333397,6151257,3254847,1336014,516006
35 - 44,4850354,4123888,1713260,670747,247398
45 - 54,3062707,2587174,844963,355906,112975
55 - 64,1973078,1571257,360461,149289,41092
65 - 74,1165804,798353,108052,38070,9137
75+,694217,317843,28969,9507,1752
Not Stated,571,7,14,10,1
Rural,30253076,12249933,4139595,1614287,315571
3 - 4,1801722,27602,15463,14274,
5 - 9,4601572,80768,51973,77703,
10 - 14,4847275,141975,88111,100495,
15 - 24,6575444,2597353,1435451,595737,92367
25 - 34,4166006,3204546,1227281,407590,112557
35 - 44,3022968,2413068,677823,207614,59155
45 - 54,2118641,1704090,373470,126334,32681
55 - 64,1526775,1166188,186967,62428,14653
65 - 74,981753,646455,63463,17068,3419
75+,610643,267886,19592,5044,739
Not Stated,277,2,1,,
Urban,13486830,8444382,5730357,2912960,933562
3 - 4,702994,20175,37371,33077,-
5 - 9,1587302,61599,116932,129814,-
10 - 14,1469838,113685,163234,158482,-
15 - 24,3073631,2101379,1650861,858129,228405
25 - 34,3167391,2946711,2027566,928424,403449
35 - 44,1827386,1710820,1035437,463133,188243
45 - 54,944066,883084,471493,229572,80294
55 - 64,446303,405069,173494,86861,26439
65 - 74,184051,151898,44589,21002,5718
75+,83574,49957,9377,4463,1013
Not Stated,294,5,13,10,1
MOMBASA,1100173,679402,431327,184713,58011
3 - 4,56570,1472,2630,1860,-
5 - 9,129286,4177,8199,7369,-
10 - 14,113905,6802,11081,9478,-
15 - 24,236495,155939,115051,50714,13360
25 - 34,260491,237076,150018,58161,24671
35 - 44,157640,145520,82714,31792,12323
45 - 54,83947,77565,40686,16934,5426
55 - 64,39321,34618,15359,6311,1751
65 - 74,16351,12784,4495,1656,412
75+,6143,3449,1094,438,68
Not Stated,24,-,-,-,-
KWALE,783189,287765,97240,35746,7004
3 - 4,54422,447,307,327,-
5 - 9,131289,1219,1005,1708,-
10 - 14,124510,2044,1584,2458,-
15 - 24,167182,62096,29445,10562,1543
25 - 34,116234,87101,33334,10838,3053
35 - 44,76344,59466,17361,5164,1386
45 - 54,47162,36970,8935,3046,672
55 - 64,33281,22982,3756,1218,258
65 - 74,22085,11832,1212,322,73
75+,10670,3608,301,103,19
Not Stated,10,,,,
KILIFI,1323664,520866,200190,87064,18667
3 - 4,82990,851,698,782,-
5 - 9,205544,2488,2339,3764,-
10 - 14,204950,4262,3959,7472,-
15 - 24,304118,121473,62122,27872,4455
25 - 34,205386,162708,68793,24692,7945
35 - 44,124633,100596,33958,11823,3573
45 - 54,81460,64398,17680,6627,1684
55 - 64,59021,39423,7543,2883,731
65 - 74,36415,18744,2436,885,211
75+,19131,5923,662,264,68
Not Stated,16,-,-,-,-
TANA RIVER,284605,90043,25256,8985,1652
3 - 4,23035,236,114,121,-
5 - 9,52909,608,264,415,-
10 - 14,46511,960,419,516,-
15 - 24,59804,22295,9042,2881,447
25 - 34,39780,26414,8364,2715,706
35 - 44,24474,17165,3778,1202,267
45 - 54,16686,11316,1947,664,125
55 - 64,11613,6979,988,392,81
65 - 74,6505,3094,282,64,20
75+,3282,976,58,15,6
Not Stated,6,-,-,-,-
LAMU,130991,59256,25473,8101,2645
3 - 4,7754,101,68,52,-
5 - 9,18645,273,209,266,-
10 - 14,18202,379,341,341,-
15 - 24,27787,13183,7920,2346,614
25 - 34,21754,17693,9186,2901,1279
35 - 44,14645,11881,4225,1168,445
45 - 54,9880,7852,2271,680,222
55 - 64,6663,4819,927,280,69
65 - 74,3903,2382,266,53,12
75+,1754,693,60,14,4
Not Stated,4,-,-,-,-
TAITA/TAVETA,312593,171763,74588,29983,7417
3 - 4,15407,268,246,288,-
5 - 9,37276,702,770,1572,-
10 - 14,39696,1344,1389,1726,-
15 - 24,63267,36117,23418,9593,1690
25 - 34,49577,43902,23477,8281,3064
35 - 44,39367,34612,13139,4183,1423
45 - 54,28359,24762,7332,2678,774
55 - 64,20021,17029,3557,1293,364
65 - 74,12364,9315,1031,298,80
75+,7256,3712,229,71,22
Not Stated,3,-,-,-,-
GARISSA,778006,235692,94786,35766,7218
3 - 4,54097,3156,1490,1088,-
5 - 9,134920,9662,4558,3052,-
10 - 14,135815,14734,6604,4052,-
15 - 24,201862,65967,34137,11100,3122
